question,a,b,c,d,answer
'পূর্ব পাকিস্তান আওয়ামী মুসলিম লীগ' প্রতিষ্ঠাকালীন সাধারণ সম্পাদক-,শেখ মুজিবর রহমান,শামসুল হক,আতাউর রহমান খান,আবুল হাশিম,b
স্বাধীন পাকিস্তানের প্রথম গর্ভনর জেনারেল-,মোহাম্মদ আলী জিন্নাহ,লিয়াকত আলী খান,লর্ড ওয়াভেল,লর্ড মাউন্টব্যাটেন,a
পাকিস্তান আমলে পূর্ব বাংলার প্রথম গর্ভনর ছিলেন-,খাজা নাজিম উদ্দিন,ফ্রেডারিক বোর্ন,নুরুল আমিন,মালিক ফিরোজ খান নুন,b
পাকিস্তান শব্দটি সর্বপ্রথম কে তৈরি করেন?,আল্লামা ইকবাল,মোহাম্মদ আলী জিন্নাহ,লিয়াকত আলী খান,চৌধুরী রহমত আলী,d
'তমদ্দুন মজলিশ' কে প্রতিষ্ঠা করেন?,হাজী শরিয়তউল্লাহ,শেরে বাংলা এ কে ফজলুল হক,আবুল কাশেম,মাওলানা আব্দুল হামিদ খান ভাসানী,c
"'আমার ভাইয়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি, আমি কি ভুলিতে পারি' - গানটি কে রচনা করেন?",মুনির চৌধুরী,জহির রায়হান,আব্দুল গাফফার চৌধুরী,কাজী নজরুল ইসলাম,c
কত তারিখে প্যারিসে অনুষ্ঠিত ইউনেষ্কোর সাধারণ পরিষদের সম্মেলন থেকে একুশে ফেব্রুয়ারিকে আন্তর্জাতিক মাতৃভাষা দিবস ঘোষণা করা হয়?,১৯৯৯ সালের ১৭ নভেম্বর,২০০০ সালের ১৭ নভেম্বর,১৯৯৯ সালের ১৯ নভেম্বর,১৯৯৯ সালের ২১ নভেম্বর,a
রাষ্ট্রভাষা আন্দোলনে কোন সংস্থা গুরুত্বপূর্ণ ভূমিকা পালন করেন?,তমদ্দুন মজলিশ,ভাষা পরিষদ,মাতৃভাষা পরিষদ,আমরা বাঙালি,a
ভাষা আন্দোলনের সময় পাকিস্তানের প্রধানমন্ত্রী কে ছিলেন?,খাজা নাজিম উদ্দীন,নুরুল আমিন,লিয়াকত আলী খান,মোহাম্মদ আলী জিন্নাহ,a
পাকিস্তানের গণপরিষদে উর্দুর পাশাপাশি বাংলাকে রাষ্ট্রভাষা করার দাবি কে জানিয়েছিলেন?,তমিজউদ্দিন খান,সৈয়দ আজমত খান,ধীরেন্দ্রনাথ দত্ত,মনোরঞ্জন ধর,c
১৯৫২ সালের ২১ ফেব্রুয়ারি ১৪৪ ধারা ভঙ্গ করে কার সভাপতিত্বে ছাত্র যুবক সমাবেশ হয়?,আব্দুল মতিন,গাজীউল হক,কাজী গোলাম মাহবুব,আলি আহাদ,b
কে বায়ান্নর ভাষা আন্দোলনের শহীদ নন?,সালাম,জব্বার,বরকত,আসাদ,d
ভাষা আন্দোলনভিত্তিক প্রথম পত্রিকার সম্পাদকের নাম-,মুনীর চৌধুরী,হাসান হাফিজুর রহমান,শামসুর রহমান,গাজীউল হক,b
কত সালে 'রাষ্ট্রভাষা সংগ্রাম পরিষদ' গঠিত হয়?,১৯৪৮ সালে,১৯৫০ সালে,১৯৫২ সালে,১৯২০ সালে,a
ভাষা আন্দোলনের স্মৃতি শহীদ মিনারের স্থপতি কে?,কামরুল হাসান,শিল্পী হামিদুর রহমান,শিল্পী এস এম সুলতান,শিল্পী জয়নুল আবেদীন,b
১৯৫২ সালের ২১ শে ফেব্রুয়ারি প্রথম শহীদ-,রফিক,সালাম,বরকত,জব্বার,a
ভাষা আন্দোলনের নেতা ছিলেন-,হাবিবুর রহমান শেলী,নুরুল আমিন,খাজা নাজিম উদ্দিন,মোহাম্মদ আকরাম খাঁ,a
