question,a,b,c,d,answer
পর্তুগিজ 'আনানস' বাংলায় 'আনারস' - এটি কী ধরনের পরিবর্তন?,সাদৃশ্য ,বৈসাদৃশ্য,অর্থগত,ধ্বনিতাত্ত্বিক,d
নিচের কোনটি ধ্বনি পরিবর্তনের উদাহরণ নয়?,প্রাতিপদিক,অভিশ্রুতি,অপিনিহিতি,ধ্বনিবিপর্যয়,a
"যে রীতিতে 'স্নান' শব্দটি সিনান (স্নান > সিনান) শব্দে পরিণত হয়, তার নাম-",অভিশ্রুতি,স্বরাগম,বিপ্রকর্ষ,অভিকর্ষ,b
কোনটি স্বরাগমের উদাহরণ?,পিরীতি,বিলিতি,বসতি,উড়নি,a
'স্কুল' শব্দটিকে 'ইস্কুল' উচ্চারণে ধ্বনির এই পরিবর্তনকে বলা হয়-,আদি স্বরাগম,বিপ্রকর্ষ,পরাগত,অপিনিহিত,a
কোনটি আদি স্বরাগম?,স্নেহ > সিনেহ,রত্ন > রতন,স্ত্রী > ইস্ত্রী,গ্রাম > গেরাম,c
স্বরাগমের উদাহরণ কোনটি?,স্পর্ধা - আস্পর্ধা,মাছুয়া - মেছো,নিবানো - নিভানো,ধোবা - ধোপা,a
সংযুক্ত ব্যঞ্জনবর্ণকে ভেঙ্গে তার মধ্যে স্বরবর্ণ আনয়নকে কি বলে?,স্বরাগম,স্বরভক্তি,স্বরসঙ্গতি,অপনিহিতি,b
প্রথম > 'পরথম' কী ধরনের ধ্বনি পরিবর্তন,অসমীকরণ,অপনিহিতি,বিপ্রকর্ষ,স্বরসার্ম,c
গ্রাম > গেরাম- এখানে কোনটি ঘটেছে?,ব্যঞ্জন বিকৃতি,পরাগম,স্বরাগম,অসমীকরণ,c
কোনটি স্বরভক্তির উদাহরণ?,বিলিতি,বউদি,পোক্ত,পেরেক,d
রত্ন > রতন হওয়ার ধ্বনিসূত্র-,স্বরভক্তি,স্বরসংগতি,অপনিহিতি,অভিশ্রুতি,a
নিচের কোনটি স্বরভক্তি বা বিপ্রকর্ষ এর উদাহরণ?,শক্রবার-শুক্‌কুরবার,আহলাদ-আলহাদ,স্পর্ধা-আস্পর্ধা,মুকদ্দমা-মোকর্দমা,a
