question,a,b,c,d,answer
'ধ্বনি' সম্পর্কে নিচের কোন বাক্যটি সঠিক নয়?,ধ্বনি দৃশ্যমান,মানুষের ভাষার মূলে আছে কতগুলো ধ্বনি,অর্থবোধক ধ্বনিগুলোই মানুষের বিভিন্ন ভাষার বাগ্‌ধ্বনি,ধ্বনি উচ্চারণীয় ও শ্রবণীয়,a
বাংলা ভাষায় মৌলিক ধ্বনির সংখ্যা কত?,৭,৩৭,৩২,৩৯,b
বাংলা ভাষায় মৌলিক ব্যঞ্জনধনির সংখ্যা কত?,৩০,৩২,৩৭,৩৯,a
বাংলা ভাষায় মৌলিক স্বরধ্বনির সংখ্যা কত?,৭টি,১১টি,৯টি,১৩টি,a
কোনগুলো মৌলিক স্বরধ্বনি?,"ও, ঔ","এ, ঐ","ই, অ্যা","আ, ঋ",c
বর্ণ হচ্ছে-,শব্দের ক্ষুদ্রতম অংশ,একসঙ্গে উচ্চারিত ধ্বনিগুচ্ছ,ধ্বনি নির্দেশক প্রতীক,ধ্বনির শ্রুতিগ্রাহ্য রূপ,c
ধ্বনি উচ্চারণে মানব শরীরের যেসব প্রত্যঙ্গ জড়িত সেগুলোকে একত্রে কী বলে?,গলনালি,বাগযন্ত্র,স্বরযন্ত্র,শ্বাসনালী,b
একই সঙ্গে উচ্চারিত দুইটি মিলিত স্বরধ্বনিকে কি বলে?,মৌলিক স্বরধ্বনি,সমধ্বনি,মূলধ্বনি,যৌগিক স্বরধ্বনি,d
পূর্ণস্বরধ্বনি ও অর্ধস্বরধ্বনি একত্রে মিলে হয়?,স্বরধ্বনি,মৌলিক স্বরধ্বনি,অল্প স্বরধ্বনি,দ্বিস্বরধ্বনি,d
কোন দু'টি স্বরের মিলিত ধ্বনিতে 'ঐ' ধ্বনির সৃষ্টি হয়?,অ এবং ই,এ এবং ই,ও এবং ই,উ এবং ই,c
'ঔ' কোন ধরনের স্বরধ্বনি?,যৌগিক স্বরধ্বনি,তালব্য স্বরধ্বনি,মিলিত স্বরধ্বনি,কোনোটি নয়,a
নিচের কোনটি দ্বিস্বর ধ্বনি?,বিবি,বিরি,রদ,ইয়ে,d
