question,a,b,c,d,answer
'চক্ষুর দ্বারা গৃহীত' - এর এক কথায় প্রকাশিত রূপ-,চক্ষুষ্মান,দর্শনীয়,গোচর,অনিশেষ,c
যার চক্ষু লজ্জা নেই,চশমখোর,নির্লজ্জ,চাক্ষুস,চোষ্য,a
বাক্য সংকোচন করুন : 'চক্ষুর সম্মুখে সংঘঠিত',প্রত্যক্ষ,চাক্ষুস,চর্ব্য,সম্মুখে,b
'অক্ষির অগোচরে' বাগধারার অর্থ কী?,পরোক্ষ,প্রত্যক্ষ,সরাসরি,চোখাচোখি,a
এক কথায় প্রকাশ করুন। অক্ষির অভিমুখে,প্রত্যক্ষ,পরোক্ষ,সমক্ষ,চাক্ষুস,a
'অক্ষির সমীপে' এর সংক্ষেপন হল -,সমক্ষ,পরোক্ষ,প্রত্যক্ষ,নিরপেক্ষ,a
এক কথায় প্রকাশ করুন। 'অনুকরণ করার ইচ্ছা',অনুচিকীর্ষা,অপচিকীর্ষা,অনুচিকীর্ষু,উপচিকীর্ষু,a
অনুসন্ধান করার ইচ্ছাকে কী বলে?,অনুচিকীর্ষা,অনুসন্ধিৎসা,প্রতিচিকীর্ষা,অনুচ্চার্য,b
'অপকার করার ইচ্ছা' এক কথায়-,অপচিকাষ্য,অপচিকীর্ষা,অপকার,অপকারী,b
এক কথায় প্রকাশ করুন। 'পাওয়ার ইচ্ছা',জিগীষা,ঈপ্সা,বুভুক্ষা,লিপ্সা,b
'উপকার করার ইচ্ছা' এর এক কথায় প্রকাশ কী?,উপকারিচ্ছ,উপকারী,সাহায্যকারী,উপচিকীর্যা,d
'তিতিক্ষা' শব্দ দ্বারা বুঝায় -,লাভ করার ইচ্ছা,গমন করার ইচ্ছা,ক্ষমা করার ইচ্ছা,ত্যাগ করার ইচ্ছা,c
হনন করার ইচ্ছা - এক কথায় কি হবে?,হননেচ্ছা,জিঘাংসা,হত্যা,অদম্য,b
'জানবার ইচ্ছা' - এ  বাক্যটির বাক্য সংকচন কি?,জিগীষা,জিজ্ঞাসা,জিঘাংসা,জুগুপ্সা,b
'জিজীবিষা' শব্দটি দিয়ে বোঝায় -,জয়ের ইচ্ছা,হত্যার ইচ্ছা,বেঁচে থাকার ইচ্ছা,শোনার ইচ্ছা,c
'নিন্দা করার ইচ্ছা' - এর এক কথায় প্রকাশ কী হবে?,নিন্দার্হ্য,নিন্দিচ্ছা,জুগুপ্সা,নিন্দনীয়,c
কোন বাক্যটির সংকোচন রূপ 'জিগীষা'?,জানিবার ইচ্ছা,জয় করিবার ইচ্ছা,হনন করিবার ইচ্ছা,যুদ্ধ করিবার ইচ্ছা,b
'হরণ করার ইচ্ছা' - এক কথায় প্রকাশযোগ্য রূপ-,জিহীর্ষা,বিভ্রমিষা,বিবিক্ষা,জুগুপ্সা,a
'দেখবার ইচ্ছা'র এককথায় প্রকাশ-,বিবিক্ষা,তিতিক্ষা,দীক্ষা,দিদৃক্ষা,d
'বলার ইচ্ছা' কে এক কথায় কী বলে?,বিলেচ্ছা,বলেচ্ছা,বলব,বিবক্ষা,d
'প্রবেশ করার ইচ্ছা'কে এক কথায় কী বলা হয়?,বিবক্ষা,বিবিক্ত,বিবাসন,বিবর্ধন,a
'ভোজন করার ইচ্ছা' এক কথায় কী হবে?,পেটুক,ভোজনবিলাসী,বুভুক্ষা,খাদক,c
'লাভ করার ইচ্ছা'কে এক কথায় কী বলে?,লোপ,লোভ,লিপ্সা,বুভুক্ষা,c
'যে উপকারীর উপকার স্বীকার করে' - এক কথায় কী হবে? ,অকৃতার্থ,কৃতজ্ঞ,কৃতঘ্ন,অপকারী,c
উপকারীর অপকার করে যে-,কৃতজ্ঞহীন,অকৃতজ্ঞ,কৃতঘ্ন,অপকারী,c
'যাহা কষ্টে অর্জন করা যায়' তাকে এক কথায় বলে-,দুর্জয়,অদম্য,কষ্টার্জিত,পরিশ্রমলব্ধ,c
'যা কষ্টে জয় করা যায়' এক কথায় কি হবে?,কষ্টার্জিত,পরিশ্রমলব্ধ,দুর্জয়,দুর্লভ,c
যা দমন করা কষ্টকর?,দুর্দমনীয়,দুর্নিবার,দূর্নিবার,দূর্দনমীয়,a
কষ্টে অতিক্রম করা যায় যা'-,দুর্নিবার,দুর্লভ,বন্ধুর,দুরতিক্রম্য,d
এক কথায় প্রকাশ করুন- যা সহজে উত্তীর্ণ হওয়া যায় না-,দুর্গম,দুস্তর,দুর্জয়,দুর্লভ,b
যার অন্য কর্ম নেই-,অনোন্যকর্মা,অন্যকর্মা,অনন্যকর্মা,অনন্যকর্ম,c
'কোনভাবেই যা নিবারণ করা যায় না' - এক কথায় কি হবে?,অনিবার্য,অনন্যোপায়,অদম্য,অসম্ভব,a
যা উচ্চারণ করা যায় না' এর এক কথায় প্রকাশ কি হবে?,দুরুচ্চার্য,দুরপনেয়,অবরোদ্ধ,অনুচ্চার্য,d
'অব্যক্ত মধুর ধ্বনি' কে এক কথায় বলে-,রিনিঝিনি,শিঞ্জন,কলতান,নিক্বণ,c
'পাখির ডাক' এক কথায় প্রকাশ কর।,কেকা,হ্রেষা,কূজন,অজিন,c
'মেঘের ধ্বনি' এর বাক্য সংকোচন কোনটি?,মৃন্ময়,জীমূতমন্দ্র,জীমূতেমন্দ্র,শানকি,b
নূপুরের ধ্বনি- এক কথায় কি বলে?,শিঞ্জন,রুমঝুম,ঝংকার,নিক্বণ,d
'হাতির ডাক' এক কথায় প্রকাশ-,হ্রেষা,বৃংহিত,হুংকার,বুক্কন,b
অলংকারের ঝংকার'র বাক্য সংকোচন কি?,কিন্নর,শিঞ্জন,অজিন,অঞ্জন,b
কোনটি অশ্বের ডাক?,বৃংহিত,হ্রেষা,ক্রেকার,বুক্কন,b
'ক্ষমার যোগ্য' - এর বাক্য সংকোচন-,ক্ষমা,ক্ষমাপ্রার্থী,ক্ষমার্হ,ক্ষমাপ্রদ,c
