question,a,b,c,d,answer
অগ্রজ-এর বিপরীতার্থক শব্দ কোনটি?,পরিগ্রজ,পশ্চাৎ,নিগ্রহ,অনুজ,d
কোনটি 'অধিত্যকা' শব্দের বিপরীতার্থক শব্দ?,অন্ধকার,তিরোভাব,হালকা,উপত্যকা,d
'অতিকায়' শব্দের বিপরীত শব্দ কোনটি?,বৃহৎ,ক্ষুদ্রকায়,অণু,অল্প,b
'অর্বাচীন' শব্দের বিপরীতার্থক শব্দ কোনটি?,নিরপরাধ,প্রাচীন,অনুজ,অনভ্যাস,b
'অনুরক্ত' - এর শব্দের বিপরীত শব্দ কোনটি?,আসক্ত,সংসক্ত,আরক্ত,বিরক্ত,d
'অনুরাগ' শব্দের বিপরীত শব্দ কোনটি?,বিরক্ত,উপহাস,বিরাগ,প্রতিঘাত,c
'নিগ্রহ' শব্দের বিপরীত শব্দ -,অনুগ্রহ,বিগ্রহ,সানুগ্রহ,অনিগ্রহ,a
'অনুলোপ' এর বিপরীত শব্দ?,অভিলোপ,সুলোপ,প্রতিলোপ,বিলোপ,c
'অপচয়' এর বিপরীত শব্দ কোনটি?,সাশ্রয়,কৃচ্ছতা,কৃপণতা,সঞ্চয়,d
'অপসূয়মান' শব্দটির বিপরীত কি?,উদীয়মান,ক্ষয়মান,বিলীয়মান,বিবর্তমান,a
'অমৃত' এর বিপরীতার্থক শব্দ -,তিক্ত,বিষাক্ত,বিরল,গরল,d
'অমরবতী' এর বিপরীত শব্দ কোনটি?,সুরলোক,অম্বর,দ্যুলোক,নরক,d
অর্থী'র বিপরীত শব্দ-,প্রার্থী,প্রত্যর্থী,প্রার্থনাকারী,যাচক,b
'অলিক' এর বিপরীতার্থক শব্দ কোনটি?,অলৌকিক,লৌকিক,বাস্তব,অবাস্তব,c
'অহ্ন' শব্দের বিপরীত শব্দ কোনটি?,সূর্য,গতি,অপর,রাত্রি,d
'আরোহণ'-এর বিপরীতার্থক শব্দ কি?,অবরোহণ,সংশ্লেষণ,বিসর্জন,বহির্গমন,a
'আকুঞ্চন' এর বিপরীত শব্দ কোনটি?,চিরন্তন,বিসর্জন,উত্তরণ,প্রসারণ,d
'আগমন' এর বিপরীত শব্দ কোনটি?,গমন,নির্গমন,প্রস্থান,সটান,b
'আগমনী' শব্দের বিপরীত শব্দ কোনটি?,বিদায়ী,প্রত্যাগমন,বিসর্জন,প্রাক্তনী,a
'আবাহন' শব্দের বিপরীতার্থক শব্দ কোনটি?,বিসর্জন,তিরোভাব,অপকর্ষ,অবরোহন,a
'আদিষ্ট' শব্দের বিপরীতার্থক শব্দ কোনটি?,নিষিদ্ধ,উদ্যত,হাজির,অনাসক্ত,a
'আকস্মিক' শব্দের বিপরীতার্থক শব্দ কোনটি?,হঠাৎ,চিরন্তন,তিরোভাব,স্থির,b
'আপদ' - এর বিপরীত শব্দ কোনটি?,সম্পাদ,বিপদ,বিগ্রহ,নিগ্রহ,a
'আবির্ভাব' শব্দের বিপরীতার্থক শব্দ কোনটি?,তাদৃশ,আত্ম,তিরোভাব,আরোহন,c
'আদিম' শব্দের বিপরীতার্থক শব্দ কোনটি?,অন্ত,অন্তম,অন্তিম,পূর্ব,c
'আঁটি' শব্দের বিপরীত শব্দ হচ্ছে?,সাস,শাষ,শাঁস,শাঁষ,c
'ইতর' - এর বিপরীত শব্দ কোনটি?,অভদ্র,মিথ্যা,উত্তম,ভদ্র,d
'ইদানিং' - শব্দের বিপরীত শব্দ-,আজকাল,তদানিং,তদানিন্তন,তৎকালীন,b
'ঈদৃশ' এর বিপরীত শব্দ-,সদৃশ,এরকম,তাদৃশ,সাদৃশ,c
'উত্তরণ' - শব্দের বিপরীত শব্দ-,পতন,অবনয়ন,অবতরণ,অধস্তন,c
'উত্থান' - এর বিপরীত শব্দ কোনটি?,উম্মোচন,পতন,অবতান,অবসান,b
'উদ্যত' এর বিপরীতার্থক শব্দ কোনটি?,সমুন্নত,অদ্যত,বিরত,প্রদ্যুত,c
'উন্নীত' শব্দের বিপরীতার্থক শব্দ কি?,বিনীত,অবনমিত,অবনতি,অধোগতি,b
'উত্তরীয়' - এর বিপরীত শব্দ -,অনুত্তরীয়,অন্তরীয়,নৈঋত,চাদর,b
'উদার' এর বিপরীতার্থক শব্দ -,কঠিন,কোমল,সংকীর্ণ,হৃদয়বান,c
'উদ্ধত' এর বিপরীত শব্দ কোনটি?,অবনত,বিনীত,আনত,নত,b
'উচাটন' এর বিপরীতার্থক শব্দ কোনটি?,ঊর্ধটান,প্রশান্ত,উঁচুনিচু,উত্তাল,b
'উৎকর্ষ' - শব্দের বিপরীত শব্দ :,নিম্নকর্ষ,অপকর্ষ,উর্বর,অবনতি,b
'ঊষার' শব্দের বিপরীতার্থক শব্দ -,অনুর্বর,উর্বর,ধূসর,শস্যশ্যামল,b
'একান্ন' এর বিপরীত শব্দ কোনটি?,একসাথে,পৃথগন্ন,পোলাও,পৃথক,b
'এঁড়ে' শব্দের বিপরীত শব্দ হচ্ছে?,অকপট,আনাড়ি,গোঁয়ার,বকনা,d
'ঐহিক' শব্দের বিপরীত শব্দ-,অবনতি,অদৃশ্য,অকৃতজ্ঞ,পারত্রিক,d
'ঐশ্বর্য' এর বিপরীত শব্দ কোনটি?,আসক্তি,পারত্রিক,নিঃস্ব,ঐচ্ছিক,c
'ঐকতান' শব্দের বিপরীত শব্দ কোনটি?,ঐকবাদন,স্বরবিরোধ,স্বরসঙ্গিত,কনসার্ট,b
'ঔদার্য' শব্দের বিপরীতার্থক শব্দ -,ম্লান,পতন,কার্পণ্য,বিনয়,c
'ঔদ্ধত্য' শব্দের বিপরীতার্থক শব্দ  কোনটি?,সরল,বিনয়,শান্ত,বিনীত,b
'ঋজু' শব্দের বিপরীত শব্দ কোনটি?,সরল,বঙ্কিম,বেঁটে,ভঙ্গুর,b
কোন শব্দটি 'সিক্ত'র বিপরীত,অর্জন,বর্জন,শুষ্ক,তীব্র,c
'কড়ি' শব্দের বিপরীতার্থক শব্দ  কোনটি?,কোমল,মধুর,পয়সা,কানা,a
