question,a,b,c,d,answer
'অতিশয্যে গোপন উদ্দেশ্য অর্জনের প্রকাশ' - কোন প্রবাদের সাহায্যে বোঝানো যায়?,অতি দর্পে হত লঙ্কা,অতি চালাকের গলায় দড়ি,অতি লোভে তাঁতি নষ্ট,অতি ভক্তি চোরের লক্ষণ,d
'অন্ধকে দর্পণ দেখানো' প্রবচনটির অর্থ-,নির্বোধকে জ্ঞান দান,অন্ধকে আলো দেখানো,অতি অহংকার,অন্ধের যষ্টি,a
'অল্পজলের মাছ' প্রবচনটির মানে -,নিতান্তই বোকা,অসার ব্যাক্তি,ভয়ংকর স্বভাব,ঘাঁই মারার জন্য প্রস্তুত,a
আসলো মুসল নাই ঢেঁকি ঘরে চাঁদোয়া' - অর্থ কী?,অমিতব্যয়ী,অপদার্থ,জব্দ করা,এলোমেলো,a
'উভয় কুল রক্ষা' অর্থে ব্যবহৃ প্রবচন কোনটি?,"চাল না চুলো, ঢেকী না কুলো","কারো পৌষ মাস, কারও সর্বনাশ",বোঝার উপর শাকের আঁটি,"সাপও মারে, লাঠিও না ভাঙ্গে",d
'উলুবনে মুক্তা ছড়ানো' এর সঠিক অর্থ,অজায়গায় গমন করা,অপাত্রে সম্প্রদান করা,অস্থানে যোগাযোগ করা,অপাত্রে অনুসন্ধান করা,b
'এঁটোপাত না যায় স্বর্গে' প্রবাদটিকে কোন অর্থ প্রকাশ পায়?,এক কৌশলে দুই উদ্দেশ্য সাধন,পরমুখাপেক্ষীর সমৃদ্ধি সম্ভব হয় না,পরিশ্রম না করলে সফলতা আসে না,যার যেমন ভাগ্য,b
'কপাল গুণে গোপাল ঠাকুর' প্রাবাদটির অর্থ-,অসুন্দরকে বেমানান ভাবে সজ্জিত করা,অযোগ্যের ভাগ্যগুণে বড় হওয়া,ভালো থাকার খারাপ ব্যাখ্যা,মূর্খ জ্ঞানীর কদর বোঝে না,b
'কাঁচা বাঁশে ঘুনে ধরা' - বলতে বুঝায়-,অভদ্র হওয়া,কাঁচাঁ বাঁশ নষ্ট হওয়া,চরিত্র নষ্ট হওয়া,অল্প বয়সে স্বভাব নষ্ট হওয়া,d
'কাকের মাংস কাকে খায় না' প্রবাদটির অর্থ-,নিজের ক্ষতি কেউ করে না,আপন মানুষকে কেউ সম্মান করে না,স্বজাতির ক্ষতি কেউ করে না,মিত্রতা বজায় রাখে,c
'খাস তালুকের প্রজা' প্রবাদটির অর্থ হলো-,নিঃস্ব ব্যক্তি,সৎ ব্যক্তি,তোষামদকারী,খুব অনুগত ব্যক্তি,d
'খিচুড়ি পাকানো' প্রবাচনটির অর্থ-,মজাদার রান্না,বিশৃঙ্খলা সৃষ্টি করা,ষড়যন্ত্র করা,দলবাজি করা,b
'গা টেপাটিপি' মানে-,রোগীর ব্যথা উপশম করা,পায়ে ব্যথা জাগানো,অন্যকে লুকিয়ে কিছু বোঝানোর চেষ্টা,কোনো গোপন ইঙ্গিত,d
'গুণহীনের বৃথা আস্ফালন'- এর অর্থ নিচের কোন প্রবাদের সাহায্যে বোঝানো যায়?,কানা ছেলের নাম পদ্মলোচন,অসারের তর্জন গর্জন সার,"ঘুঘু দেখেছ, ফাঁদ দেখ নি","আসলে মুষল নাই, ঢেঁকি ঘরে চাঁদোয়া",b
'ঘটি ডোবে না নামে তালপুকুর' - প্রবাদটির অর্থ কী?,সস্তা বস্ত,যোগ্যতা ছাড়াই অহঙ্কার দেখানো,স্তব্ধ হওয়া,সুযোগ সন্ধান করা,b
'ঘরের শ্ত্রু বিভীষণ' বাগধারাটির অর্থ-,বন্ধুভাবাপন্ন,শত্রু,রাবণের ভাই,যে গৃহ বিবাদ করে,d
'ঘোমটার ভিতর খেমটা নাচ' প্রবচনটির অর্থ-,গোপন কাজ,"লজ্জার ভাব, কিন্তু নির্লজ্জ আচরণ",উৎকট স্বার্থপরতা,দুরভিসন্ধি,b
'ঘুঘু দেখেছ ফাঁদ দেখ নি'।,ফাঁদে আটকানোর কৌশল,বিপদগ্রস্থ হওয়ার ভয় দেখানো,অভিজ্ঞতার অভাব,শাস্তির কথা বলা,b
'জুতো সেলাই থেকে চন্ডীপাঠ' কথাটি কি অর্থে ব্যবহৃত হয়?,ছোটবড় যাবতীয় কাজ করা,ভাগ্য চিরসঙ্গী,"কারও সুসময়, কারও দুঃসময়",সুযোগের সদ্ব্যবহার করা,a
'ঝিকে মেরে বৌকে শেখানো'- বাক্যটির অর্থ কি?,বৌ ও ঝিকে একই সাথে মারা,একজনকে বকা দিয়ে অপরকে শিক্ষা দেয়া,স্ত্রীকে কিছু না বলে মেয়েকে মারা,কাজের মেয়েকে শাস্তি দিয়ে স্ত্রীকে শেখানো,b
'টো টো কোম্পানির ম্যানেজার' প্রবচনের অর্থ-,ভুইফোঁড় প্রতিষ্ঠানের কর্তা,গোপন ব্যবসায়ের হোতা,ভবঘুরে,বহুজাতিক সংস্থার ব্যবস্থাপক,c
'ঢাক ঢাক গুড় গুড়' বাগধারাটির অর্থ কি?,ঢাক জোরে বাজান,বিরক্তিকর আওয়াজ,প্রচার,লুকোচুরি,d
'ঢাল নেই তলোয়ার নেই নিধিরাম সর্দার'। প্রবচনটির সমার্থক প্রবচন কোনটি?,মশা মারতে কামান দাগা,বিষ নেই তার কুলোপনা চক্কর,দেশের কুকুর বিদেশের ঠাকুর,বজ্র আঁটুনি ফস্কা গেরো,b
'বিষ নেই তার কুলোপনা চক্কর' - বাগধারাটির সঠিক অর্থ কোনটি?,যার কোন প্রকার ক্ষমতা নেই,অন্ত:সার শুন্য অবস্থা,ক্ষমতাশালীর দম্ভ প্রকাশ ,অক্ষম ব্যাক্তির বৃথা আস্ফালন ,d
'দশচক্রে ভগবান ভূত' প্রবাদটির কি অর্থ বোঝায়,"একতাই শক্তি, একাতে অসম্ভব ",দশ জনের চক্রান্তে ন্যায়কে অন্যায় করা,প্রয়োজনে নিকৃষ্ট জিনিসের ব্যবহার ,দশ জনের চক্রান্তে ভগবানকে মিথ্যা প্রমান করা,b
'দশের লাঠি একের বোঝা' - অর্থ কি?,ভারী বস্তু,ঐক্যহীন,দোষ চাপানো ,ঐক্যই শক্তি ,d
'ধান ভানতে শিবের গীত' এ প্রবাদটি দিয়ে কি বুঝায়?,একে অপরের জন্য দুশ্চিন্তাগ্রস্থ হওয়া,প্রসঙ্গ ছেড়ে অপ্রাসঙ্গিক কথা বলা,কাজ আরম্ভ করার সাথে সাথে ফলের প্রত্যাশা,ক্ষুদে ব্যাক্তির বড়াই,b
'নিজের দেশে গুণীর আদর নেই' এর অর্থ প্রকাশক প্রবাদ কোনটি?,বুড়ো শালিকের ঘাড়ে রোঁ,মুড়ি মিছরির এক দর,গেঁয়ো যোগী ভিখ পায় না,ভাগের মা গঙ্গা পায় না,c
"'পড়েছি মোগলের হাতে, খানা খেতে হবে সাথে।' প্রবচনটির অর্থ কি?",ভদ্র ব্যক্তির সঙ্গে খাদ্য খাওয়া,মোগলের সাথে বসে খাদ্য খাওয়া,সুদিন হঠাৎ ফিরে আসা,বিপদে পড়ে কাজ করা,d
'পর্বতের মুষিক প্রসব' প্রবচনটির অর্থ-,বিপুল উদ্যোগে তুচ্ছ অর্জন,বহু প্রত্যাশিত অর্জন,বিরাট আয়োজন,গুরুতর বিষয় খুজে পাওয়া,a
'পরের মাথায় কাঁঠাল ভাঙ্গা' বাগধারাটির অর্থ-,সর্বনাশ করা,অন্যকে ফাঁকি দিয়ে কার্যসিদ্ধি করা,অপকর্ম করা,নিষ্ঠুর আচরণ করা,b
'পাওয়ার আগে ভোগের আয়োজন' - এ কথাটির প্রবাদ বাক্য কোনটি?,খাল কেটে কুমির আনা,ঝোপ বুঝে কোপ মারা,ছাই ফেলতে ভাঙ্গা কুলো,গাছে কাঁঠাল গোঁফে তেল,d
'পেটের ভাত চাল হওয়া' বাগবিধির অর্থ-,অতিরিক্ত দুর্ভাবনায় পড়া,বেশি ভয় পাওয়া,মোটেও হজম না ,তীব্র ক্ষুধায় কাতর হওয়া,a
'ফেলো কড়ি মাখো তেল।' বলতে বুঝায়-,পরের ক্ষতি করে আত্মস্বার্থ হাসিল,আবদারহীন নগদ কারবার,অপ্রাসাঙ্গিক প্রসঙ্গের অবতারণা,স্বাভাবিক ক্ষমতা ও প্রভাব প্রতিপত্তি,b
"""বন্যেরা বনে সুন্দর, শিশুরা মাতৃক্রোড়ে"" উক্তিটির প্রকৃত তাৎপর্য হচ্ছে-",বনের পশু বনে থাকতেই ভালবাসে,আদিবাসী মানুষ অরণ্য জনপদে বাস করে,জীবমাত্রই স্বাভাবিক অবস্থানে সুন্দর,প্রকৃতির রূপ-সৌন্দর্য আদি ও অকৃত্রিম,c
'বুড়ো শালিকের ঘাড়ে রোঁ' প্রবচনটির যথার্থ-,দুরারোগ্য ব্যাধি,কষ্টের উপর আরো কষ্ট,বুড়োর ভীমরতি,নতুন যৌবনপ্রাপ্তি,c
যেমন কর্ম তেমন ফল' প্রবাদটির সমার্থক বাক্য বা বাগধারা কোনটি?,কত ধানে কত চাল,অহংকার পতনের মূল,অতি চালাকের গলায় দড়ি,ইটটি মারলে পাটকেলটি খেতে হয়,d
'যদি হয় সুজন তেঁতুল পাতায় ন' জন - প্রবচনটির অর্থ কি?,সুজনেরা তেঁতুল পচ্ছন্দ করে,"আসলে মুষল নাই, ঢেঁকিঘরে চাঁদোয়া","সাজনে ডাটায় নুন জোটেনা, মশুর ডালে ঘি",মিলেমিশে কাজ করলে অসম্ভবকে সম্ভব করা যায়,d
'যে সহে সে রহে' - এর সমর্থক প্রবাদ কোনটি?,সবুরে মেওয়া ফলে,যার লাঠি তার মাটি,জোর যার মুল্লুক তার,বুদ্ধি যার বল তার,a
'যাথা ধর্ম তথা জয়' বলতে কি বোঝায়?,ধর্ম কাজে জয়লাভ,ন্যায় পথে সাফল্য আসে,জয়ী হতে হলে ধর্ম দরকার,কোনোটিই নয়,b
'শিং ভেঙ্গে বাছুরের দলে' প্রবাদটির অর্থ -,দলত্যাগ,বয়স্ক ব্যক্তির ছেলেমানুষি,নিস্ফল পরিশ্রম,অকারণে ঝামেলায় পড়া,b
'সস্তার তিন অবস্থা'র অর্থ কী?,সুলভ জিনিস ভালো না,সুলভ জিনিস কেনা খারাপ,কমদামী জিনিস খারাপ,সুলভ জিনিসের নানা দোষ,d
'সময়ের কাজে না লাগলে অসময়ের পথে ফেরানো কঠিন' - এই অর্থের সাথে প্রযোজ্য প্রবচন কোনটি?,"নির্গুণ পুরুষের ভোজন সার, করেন সদাই মার মার",উঠন্তি মূলো পত্তনেই চেনা যায়,"নদী, নারী, শৃঙ্গধারী- এ তিনে না বিশ্বাস করি","কাঁচায় না নোয়ালে বাঁশ, পাকলে করে ঠাস ঠাস",d
'সাত ঘাটের কানাকড়ি' প্রবাদ প্রবচন অর্থ কি?,কপট মমতা,বড় ধরনের ক্ষতি করা,ঘোর শত্রুতা,অকিঞ্চৎর সংগ্রহ,d
'সামান্য আঘাতে কাতর হওয়া' এ বাক্যটির প্রবাদ হলো -,পেঁয়াদার আবার শ্বশুরবাড়ি,পরের মুখে ঝাল দেয়া,ফুলের ঘায়ে মুর্ছা যাওয়া,পরকাল ঝরঝরে করে দেয়া,c
"""সংসার উদ্যানে পুষ্প অপেক্ষা ..... বেশি।"" শূন্যস্থানে সঠিক শব্দটি বসান-",কন্টক,পতঙ্গ,বৃক্ষ,কীট,a
"'হায়রে আমড়া, কেবল আটি আর চামড়া!' এ প্রবাদের অর্থ -",অন্তঃসার শূন্য অবস্থা,একের জন্য অন্যের দুশ্চিন্তা,বৃহৎ বিষয়ে ক্ষুদ্র চিন্তা,অল্প শোকে কাতর,a
