question,a,b,c,d,answer
আয়তনে বাংলাদেশের সবচেয়ে বড় জেলা কোনটি?,রাঙ্গামাটি,বরিশাল,চট্টগ্রাম,ময়মনসিংহ,a
বাংলাদেশের কোথায় প্লাইস্টোসিন কালের সোপান দেখা যায়?,বান্দরবান,কুষ্টিয়া,কুমিল্লা,বরিশাল,c
নিম্নের কোন দেশটির সাথে বাংলাদেশের আন্তর্জাতিক সীমানা রয়েছে?,চীন,পাকিস্তান,থাইল্যান্ড,মিয়ানমার,d
বাংলাদেশের সর্বদক্ষিণে কোনটি অবস্থিত?,দক্ষিণ তালপট্টি,সেন্টমার্টিন,নিঝুম দ্বীপ,ভোলা,b
প্লাইস্টোসসিন চত্বর কোথায়?,সিলেট,মধুপুর,বান্দরবান,সুন্দরবন,b
বাংলাদেশের ভৌগলিক অবস্থান কোনটি?,২২°৩০' থেকে ২০°৩৪' দক্ষিণ অক্ষাংশে,৮০°৩১' থেকে ৪০°৯০' দ্রাঘিমাংশে,৩৪°২৫ থেকে ৩৫' উত্তর অক্ষাংশে,৮৮°০১' থেকে ৯২°৪১' পূর্ব দ্রাঘিমাংশে,d
বাংলাদেশের উষ্ণতম স্থানের নাম কী?,"পুঠিয়া, রাজশাহী","নাচোল, চাঁপাইনবাবগঞ্জ","লালপুর, নাটোর","ঈশ্বরদী, পাবনা",c
বাংলাদেশে কালবৈশাখীর ঝড় কখন হয়?,মৌসুমি বায়ু ঋতুতে,শীতকালে,মৌসুমি বায়ু ঋতুর পরবর্তী সময়ে,প্রাক-মৌসুমি বায়ু ঋতুতে,d
তামাবিল সীমান্তের সাথে ভারতের কোন শহরটি অবস্থিত?,করিমগঞ্জ,খোয়াই,পেট্রাপল,ডাউকি,d
বাংলাদেশের কোন জেলাটি বাংলাদেশ-ভারত সীমান্তের মধ্যে নয়?,পঞ্চগড়,সাতক্ষীরা,হবিগঞ্জ,কক্সবাজার,d
পার্বত্য চট্টগ্রামে কয়টি জেলা আছে?,৩ টি,৫ টি,৭ টি,৯ টি,a
বাংলাদেশের সীমান্তবর্তী কোন জেলার সাথে ভারতের কোন সংযোগ নেই?,বান্দরবান,চাঁপাইনবাবগঞ্জ,পঞ্চগড়,দিনাজপুর,a
বাংলাদেশের সবচেয়ে দক্ষিণের জেলা কোনটি?,চট্টগ্রাম,ভোলা,কক্সবাজার,পটুয়াখালী,c
বাংলাদেশের সবচেয়ে উত্তরের জেলা কোনটি?,দিনাজপুর,ঠাকুরগাঁও,লালমনিরহাট,পঞ্চগড়,d
দহগ্রাম ছিটমহল কোন জেলায় অবস্থিত?,লালমনিরহাট,পঞ্চগড়,কুঁড়িগ্রাম,রাজশাহী,a
বাংলাদেশের সবচেয়ে উত্তরের স্থানের নাম কী?,বাংলাবান্ধা,শিবচর,লাকুন্দিয়া,এনকিয়া,a
বাংলাদেশের পাহাড়শ্রেণির ভূ-তাত্ত্বিক যুগের ভূমিরূপ হচ্ছে-,প্লাইস্টোসিন যুগের,টারশিয়ারি যুগের,মায়োসিস যুগের,ডেভোনিয়ান যুগের,b
তেঁতুলিয়া কোন জেলায় অবস্থিত?,দিনাজপুর,পঞ্চগড়,জয়পুরহাট,লালমনিরহাট,b
ঘুমঘুম' সীমান্ত কোন বিভাগে অবস্থিত?,রংপুর,সিলেট,চট্টগ্রাম,ময়মনসিংহ,c
দহগ্রাম আঙ্গোরপোতা কোন জেলায় অবস্থিত?,পঞ্চগড়,দিনাজপুর,লালমনিরহাট,কুড়িগ্রাম,c
বাংলাদেশের সর্বোচ্চ বৃষ্টি হয় কোথায়?,বরিশালের ফুলদ্বীপে,সিলেটের লালখানে,চট্টগ্রামের মহেশখালিতে,নাটোরের লালপুরে,b
বাংলাদেশ এশিয়ার কোন অঞ্চলে অবস্থিত?,দক্ষিণ-পূর্ব এশিয়া,দক্ষিণ এশিয়া,মধ্য এশিয়া,দক্ষিণ- দক্ষিণ পূর্ব এশিয়া,b
বাংলাদেশের সবচেয়ে পূর্বের উপজেলা-,টেকনাফ,রুমা,থানচি,পঞ্চগড়,c
নিচে উল্লেখিত বাংলাদেশের কোন বিভাগটির সাথে ভারতের কোন সীমান্ত নেই?,রাজশাহী বিভাগ,খুলনা বিভাগ,চট্টগ্রাম বিভাগ,বরিশাল বিভাগ,d
বাংলাদেশের উত্তরে কোনটির অবস্থান?,মিজোরাম,মেঘালয়,ত্রিপুরা,মায়ানমার,b
মশালডাঙ্গা ছিটমহল কোন জেলায় অবস্থিত?,লালমনিরহাট,কুড়িগ্রাম,দিনাজপুর,পঞ্চগড়,b
আয়তন অনুযায়ী বাংলাদেশের ক্ষুদ্রতম জেলা কোনটি?,পঞ্চগড়,রাঙ্গামাটি,সাতক্ষীরা,নারায়ণগঞ্জ,d
বাংলাদেশের কোন এলাকায় ভুমিরূপ হাওড়া-বাওড়ে ঘেরা?,ফরিদপুরের নিম্নাঞ্চল,সুনামগঞ্জ-কিশোরগঞ্জ,ভোলা-লক্ষ্মীপুর,বরিশাল-পটুয়াখালী,b
বরেন্দ্রভূমি কোন সময়ের ভুমিরূপ,হলোসিন,প্লাইস্টোসিন,মায়োসিন,প্লাইওসিন,b
বাংলাদেশের কোন এলাকায় ভূমিরূপ লাল রঙের মৃত্তিকা বিশিষ্ট?,পাবনা,যশোর,চট্টগ্রাম,বগুড়া,c
বাংলাদেশের কোন অঞ্চলে সর্বোচ্চ বৃষ্টিপাত হয়-,দক্ষিণ-পশ্চিমে,উত্তর-পূর্বে,উত্তর-পশ্চিমে,পূর্ব-দক্ষিণে,b
বাংলাদেশের কোন ভূ-প্রাকৃতিক অঞ্চল সবচাইতে প্রাচীন?,প্লাইস্টোসিন চত্বর,টারশিয়ারি পাহাড়,মেঘনা প্লাবন সমভূমি,ব্রহ্মপুত্র-যমুনা প্লাবন সমভূমি,b
বাংলাদেশের সর্ব পশ্চিমের উপজেলা-,শিবগঞ্জ,গোদাগাড়ি,মিরপুর,নাচোল,a
বাংলাদেশে কোন নদী কার্পজাতীয় মাছের রেণুর প্রধান উৎস?,সালদা,হালদা,পদ্মা,কুমার,b
কোনটি যমুনার উপনদী?,তিস্তা,ধলেশ্বরী,খোয়াই,বংশী,a
বাংলাদেশ ও মিয়ানমার (বার্মা) কোন নদী দ্বারা বিভক্ত?,নাফ,কর্ণফুলী,নবগঙ্গা,ভাগীরথী,a
বাংলাদেশের কোথায় সুরমা ও কুশিয়ারা নদী মিলিত হয়ে মেঘনা নাম ধারণা করেছে?,ভৈরব,চাঁদপুর,দেওয়ানগঞ্জ,আজমিরিগঞ্জ,d
বাঙালি ও যমুনা নদীর সংযোগ কোথায়?,রাজশাহী,পাবনা,বগুড়া,সিরাজগঞ্জ,c
কর্ণফুলী নদীর উৎস ভারতের কোন রাজ্যে?,আসাম,ত্রিপুরা,মিজোরাম,মণিপুর,c
বাংলাদেশের নদীগুলোর মধ্যে সবচেয়ে দীর্ঘপথ অতিক্রম করেছে কোনটি?,ব্রহ্মপুত্র,পদ্মা,মেঘনা,যমুনা,a
সিলেট কোন নদীর তীরে অবস্থিত?,আড়িয়াল খাঁ,সুরমা,চন্দনা,রূপসা,b
পদ্মা ও যমুনা কোথায় মিলিত হয়েছে?,চাঁদপুর,সিরাজগঞ্জ,গোয়ালন্দ,ভোলা,c
শীতলক্ষ্যা নদীর উৎপত্তি হয়েছে-,ব্রহ্মপুত্র,যমুনা নদী থেকে,পদ্মা নদী থেকে,মেঘনা নদী থেকে,a
যমুনা নদী কোথায় পতিত হয়েছে?,পদ্মা,বঙ্গোপসাগর,ব্রহ্মপুত্র,মেঘনা,a
ব্রহ্মপুত্র নদ হিমালয়ের কোন শৃঙ্গ থেকে উৎপন্ন হয়েছে?,ত্রিপুরা পাহাড়,কৈলাস শৃঙ্গ,সিকিম অঞ্চল,মিজোরাম,b
বাংলাদেশের ভৌগলিক সীমার মধ্যে উৎপত্তি ও সমাপ্ত নদী কোনটি?,সুরমা,সাঙ্গু,কর্ণফুলী,হালদা,d
যে নদীটির উৎস ও সমাপ্তি বাংলাদেশের অভ্যন্তরে-,মাতামুহুরী,নাফ,কর্ণফুলী,সাঙ্গু,d
বাংলাদেশের গভীরতম নদী কোনটি?,যমুনা,মেঘনা,পদ্মা,ধলেশ্বরী,b
নিচের কোন নদীটি বাংলাদেশের উৎপত্তি হয়ে বঙ্গোপসাগরে পতিত হয়েছে?,করতোয়া,কর্ণফুলী,হালদা,মাতামুহুরী,c
সুন্দরবন কোন নদীর তীরে অবস্থিত?,রূপসা,ডাকাতিয়া,চিত্রা,শিবসা,d
বাংলাদেশের কোন নদীর প্রাকৃতিক মৎস্য প্রজনন কেন্দ্র হিসেবে পরিচিত?,হালদা,মেঘনা,যমুনা,পদ্মা,a
ধানসিঁড়ি নদী কোন জেলায় অবস্থিত?,পাবনা,চাঁদপুর,ঝালকাঠি ,খুলনা,c
কোন নদীটি বাংলাদেশে হতে ভারতে গিয়ে পুনরায় বাংলাদেশে প্রবেশ করছে?,আত্রাই,হালদা,কুশিয়ারি,চিত্রা,a
"বাংলাদেশের যে নদীটির নাম যমুনা, তিব্বতে সে নদীর নাম কী?",ব্রহ্মপুত্র,সাংপো,রাংপো,সাংগু,b
যমুনা নদীর প্রাচীন নাম কী?,তিস্তা,মেঘনা,কীর্তনাশা,জোনাই,d
কোন দুই নদীর মিলিত স্রোতধারা ভাটিতে মেঘনা নামে প্রবাহিত হয়?,সোমেশ্বরী-কংস,সুরমা-কুশিয়ারা,ধলেশ্বরী-শীতলক্ষ্যা,পুরাতন ব্রহ্মপুত্র-আড়িয়াল খাঁ,b
বান্দরবান কোন নদীর তীরে অবস্থিত?,সাঙ্গু,কংশ,হালদা,কর্ণফুলী,a
ঢাকা মহানগর কয়টি নদী দ্বারা বেষ্টিত?,৮,৪,৫,৯,b
বাংলাদেশের কোন নদী থেকে বাণিজ্যিক ভিত্তিতে সর্বাধিক পরিমাণ মাছের রেণু সংগ্রহ করা হয়?,কর্ণফুলি,সাঙ্গু,তিতাস,হালদা,d
ধলেশ্বরী কোন নদীর শাখা নদী?,পদ্মা,বুড়িগঙ্গা,যমুনা,মেঘনা,c
"পদ্মা, যমুনা ও মেঘনা নদী কোথায় মিলিত হয়েছে?",দৌলতদিয়া,চাঁদপুর,যশোর,কুষ্টিয়া,b
কুশিয়ারা কোন অঞ্চলের নদী?,সিলেট,রংপুর,বরিশাল,চট্টগ্রাম,a
কর্ণফুলী নদীর উৎপত্তিস্থল হলো-,তিব্বতের মানস সরোবর হ্রদ,মিজোরামের লুসাই পাহাড়ের লংলেহ,সিকিমের পার্বত্য অঞ্চল,আসামের লুসাই পাহাড়ের লংলেহ,b
যমুনা নদীর উৎপত্তি কোথায়?,গঙ্গোত্রী হিমবাহ,নাগা-মনিপুর,লুসাই পাহাড়,মানস সরোবর,d
ভবদহ বিল অবস্থিত?,ফরিদপুর,জামালপুর,যশোর,পটুয়াখালী,c
বাংলাদেশের সবচেয়ে বড় বিল কোনটি?,চলন বিল,আড়িয়াল বিল,হালতির বিল,চাতলার বিল,a
আড়িয়াল বিল' কোথায় অবস্থিত?,মানিকগঞ্জে,মুন্সিগঞ্জে,রূপগঞ্জে,হবিগঞ্জে,b
চলনবিল বাংলাদেশের কোন অঞ্চলে অবস্থিত?,চট্টগ্রাম,সিলেট,ময়মনসিংহ,রাজশাহী,d
মুহুরীর চর কোন জেলায় অবস্থিত?,নোয়াখালী,ফেনী,লালমনিরহাট,সাতক্ষীরা,b
দুবলার চর' কোথায় অবস্থিত?,সেন্টমার্টিন,সুন্দরবনের দক্ষিণ উপকূলে,ভোলা জেলায়,মাধবকুণ্ডের পাশে,b
বাংলাদেশের বৃহত্তম হাওড়ের নাম কী?,হাকালুকি,হাইচর,টাঙ্গুয়ার হাওর,চলনবিল,a
টাঙ্গুয়ার হাওড় কোন জেলায় অবস্থিত?,সুনামগঞ্জ,হবিগঞ্জ,টাঙ্গাইল,সিলেট,a
আলুটিলা প্রাকৃতিক গুহা কোথায় অবস্থিত?,খাগড়াছড়ি জেলায়,রাঙ্গামাটি জেলায়,বান্দরবান জেলায়,কক্সবাজার জেলায়,a
নীলগিরি পাহাড় কোথায় অবস্থিত?,ময়মনসিংহ,বান্দরবান,রাঙ্গামাটি,সিলেট,b
জৈয়ন্তিকা পাহাড় কোথায় অবস্থিত?,ময়মনসিংহ,সিলেট,রাঙ্গামাটি,বান্দরবান,b
চিম্বুক পাহড়ের পাদদেশে কোন উপজাতিরা বাস করে?,গারো,মুরং,চাকমা,মারমা,d
লালমাই পাহাড় কোন জেলাই অবস্থিত?,গাজীপুর,টাঙ্গাইল,ময়মনসিংহ,কুমিল্লা,d
সাজেক উপত্যকা কোথায় অবস্থিত?,খাগড়াছড়ি,বান্দরবান,রাঙামাটি,কক্সবাজার,c
কোন সমুদ্র সৈকতকে বাংলাদেশের 'সাগরকন্যা' বলা হয়?,কক্সবাজার,পতেঙ্গা,সেন্টমার্টিন,কুয়াকাটা,d
কুয়াকাটা সমুদ্র সৈকত বাংলাদেশের কোন জেলায় অবস্থিত?,পটুয়াখালী,ভোলা,ঝালকাঠি,পিরোজপুর,a
বাংলাদেশের সেন্টমার্টিন দ্বীপ কোন জেলায়?,ভোলা,নোয়াখালী,চট্টগ্রাম,কক্সবাজার,d
পূর্বাশা দ্বীপের অপর নাম কী?,নিঝুম দ্বীপ,সন্দ্বীপ,দক্ষিণ তালপট্টি,কুতুবদিয়া,c
দক্ষিণ তালপট্টি দ্বীপ কোন নদীর মোহনায় অবস্থিত?,নাফ,তেঁতুলিয়া,আড়িয়াল খাঁ,হাড়িয়াভাঙ্গা,d
বাংলাদেশের একমাত্র পাহাড়ি দ্বীপ কোনটি?,সেন্টমার্টিন,মহেশখালী,ছেঁড়া দ্বীপ,নিঝুম দ্বীপ,b
