question,a,b,c,d,answer
বাংলা আদি অধিবাসীগণ কোন ভাষাভাষী ছিলেন?,বাংলা,সংস্কৃত,হিন্দি,অস্ট্রিক,d
বাঙলি জাতির প্রধান অংশ কোন মূল জাতিগোষ্ঠীর অন্তর্ভুক্ত/কোন গোষ্ঠী থেকে বাঙালি জাতির প্রধান অংশ গড়ে উঠেছে?,নেগ্রিটো,ভোটচীন,দ্রাবিড়,অস্ট্রিক,d
সর্বপ্রথম 'বঙ্গ'র উল্লেখ পাওয়া যায়-,রামচরিত,চণ্ডীমঙ্গল,ঐতরেয় আরণ্যক,করতোয়া মাহাত্ম্য,c
বাংলা প্রাচীন জনপথ হরিকেল বর্তমান কোথায় অবস্থিত?,সিলেট ও চট্টগ্রাম,ঢাকা ও ময়মনসিংহ,কুমিল্লা ও নোয়াখালী,রাজশাহী ও রংপুর,a
বাংলার সর্বপ্রাচীন জনপদের নাম কি?,পুণ্ড্র,তাম্রলিপ্ত,গৌড়,হরিকেল,a
বর্তমান বৃহত্তম ঢাকা জেলা প্রাচীনকালে কোন জনপদের অন্তর্ভুক্ত ছিল?,সমতট,পুণ্ড্র,বঙ্গ,হরিকেল,c
প্রাচীন বাংলায় 'সমতট' বর্তমান কোন অঞ্চলে নিয়ে গঠিত ছিল?,ঢাকা ও কুমিল্লা,ময়মনসিংহ ও নেত্রকোণা,কুমিল্লা ও নোয়াখালী,ময়মনসিংহ ও জামালপুর,c
প্রাচীন' পুণ্ড্রনগর' কোথায় অবস্থিত?,ময়নামতি,বিক্রমপুর,মহাস্থানগঢ়,পাহাড়পুর,c
প্রাচীন গৌড় নগরীর অংশবিশেষ বাংলাদেশের কোন জেলায় অবস্থিত?,কুষ্টিয়া,বগুড়া,কুমিল্লা,চাঁপাইনবাবগঞ্জ,d
"মহাস্থানগড় এক সময় বাংলার রাজধানী ছিল, তখন তার নাম ছিল-",মহাস্থান,কর্ণসুবর্ণ,পুণ্ড্রনগর,রামাবতী,c
