question,a,b,c,d,answer
বাংলায় চিরস্থায়ী ভূমি ব্যবস্থা কে প্রবর্তন করেন?,লর্ড কর্নওয়ালিস,লর্ড বেন্টিঙ্ক,লর্ড ক্লাইভ,লর্ড ওয়াভেল,a
পূর্ব বাংলার ও আসামের প্রথম লেফটেন্যান্ট গভর্নর কে ছিলেন?,ফুলার,কার্জন,মিন্টো,হেস্টিংস,a
বাংলায় স্থানীয় স্বায়ত্তশাসনের প্রবর্তক,লর্ড উইলিয়াম বেন্টিঙ্ক,লর্ড লিটন,লর্ড রিপন,লর্ড কার্জন,c
বাংলায় ফরায়েজি আন্দোলনের উদ্যোক্তা (সূচনাকারী) কে ছিলেন?,শাহ ওয়ালীউল্লাহ,হাজী শরীয়তুল্লাহ,পীর মুহসীন,তিতুমীর,b
'জমি থেকে খাজনা আদায় আল্লাহর আইনের পরিপন্থী' - এটি কার ঘোষণা?,তিতুমীর,ফকির মজনু শাহ,দুদু মিয়া,হাজী শরীয়তুল্লাহ,c
ব্রাহ্ম সমাজের প্রতিষ্ঠাতা কে ছিলেন?,ঈশ্বরচন্দ্র বিদ্যাসাগর,রবীন্দ্রনাথ ঠাকুর,রামমোহন রায়,মাইকেল মধুসূদন দত্ত,c
বাঁশের কেল্লাখ্যাত স্বাধীনতা সংগ্রামী কে?,ফকির মজনু শাহ,দুদু মিয়া,তিতুমীর,মীর কাসিম,c
তিতুমীরের বাঁশের কেল্লা কোথায় অবস্থিত ছিল?,বারাসত,নারিকেলবাড়িয়া,চাঁদপুর,হায়দারপুর,b
ফরায়েজি আন্দোলনকে কোন নেতা রাজনৈতিক আন্দোলনে রূপাদান করেন?,হাজী শরীয়তউল্লাহ,তিতুমীর,দুদু মিয়া,নবাব সলিমুল্লাহ,c
তিতুমীরের দুর্গের মূল উপাদান কি ছিল?,ইট,পাথর,বাঁশ,কাঠ,c
ব্রিটিশ বিরোধী প্রথম প্রতিরোধ আন্দোলন কোনটি?,ফকির সন্ন্যাসী আন্দোলন,তিতুমিরের আন্দোলন,সূর্যসেনের আন্দোলন,ফরায়েজি আন্দোলন,a
