question,a,b,c,d,answer
শুদ্ধ বানানটি চিহ্নিত করুন।,মূর্ধন্য,মূর্ধন,মুর্ধন্য,মুর্ধণ্য,a
কন্টক' বানান কোন নিয়মে হয়?,ণ-ত্ব বিধান,বর্ণবিধান,ষ-ত্ব বিধান,কোনোটাই না,a
কোনটি শুদ্ধ বানান?,বণ্টণ,বন্টন,বণ্টন,বন্টণ,c
শুদ্ধ বানান কোনটি?,বিভিষণ,বিভীসন,বিভীষণ,বিভীষন,c
কোন বানানটি শুদ্ধ?,সম্পুর্ণ,সম্পুর্ন,সম্পূর্ণ,সম্পূর্ন,c
কোন বানানটি শুদ্ধ?,বিকিরণ,বিকীরণ,বিকিরন,বীকীরন,a
শুদ্ধ বানান কোনটি?,উদ্‌গিরণ,উদ্‌গীরণ,উদ্‌গিরন,উদ্‌গীরন,a
কোনটি সঠিক?,বিশ্লেষন,বিশ্লেশন,বিশ্লেষণ,বিস্লেষন,c
ণ-ত্ব বিধান আনুসারে কোনটি অশুদ্ধ বানান?,পুরোনো,ধরন,ঝরনা,বর্ননা,d
কোন বানানটি শুদ্ধ?,অগ্রহায়ন,অগ্রহায়ণ,অগ্রাহণ,আগ্রাহায়ণ,b
ণ-ত্ব বিধান আনুসারে কোন বানানটি শুদ্ধ?,পূর্বাহ্ণ,মধ্যাহ্ণ,অপরাহ্ন,সায়াহ্ণ,a
শুদ্ধ বানান কোনটি?,অপরাহ্ন,অপরাহ্ণ,অপরাণ্য,অপরান্য,b
শুদ্ধ বানান কোনটি?,আভ্যন্তরীণ,অভ্যন্তরীন,অভ্যন্তরীণ,অভ্যন্তরিণ,c
কোন বানানটি শুদ্ধ?,ক্ষীনজীবী,ক্ষীণজিবী,ক্ষীনজিবী,ক্ষীণজীবী,d
কোনটি শুদ্ধ বানান?,গৃহিনী,গৃহীনী,গৃহিনি,গৃহিণী,d
কোনটি সঠিক বানান?,লক্ষণীয়,লক্ষ্যণীয়,লক্ষ্যনীয়,লক্ষনীয়,a
কোন বানানটি শুদ্ধ?,পসারিণী,পসারিনি,পসারীনী,পসারিনী,a
কোনটি শুদ্ধ বানান?,শ্রাবন,শ্রাবণ,স্রাবন,স্রাবণ,b
নিচের কোন শব্দে ণ-ত্ব বিধি অনুসারে 'ণ'- এর ব্যবহার হয়েছে?,কল্যাণ,প্রবণ,নিক্কণ,বিপণি,b
ণ-ত্ব বিধি অনুসরণ করে 'ণ' হয়েছে নিচের কোন শব্দে?,কোণ,কৃপণ,লাবণ্য,বাণ,b
কোনটি শুদ্ধ বানান?,সঙকীর্নমনা,সংকির্ণমনা,সংকীর্নমনা,সংকীর্ণমনা,d
