question,a,b,c,d,answer
মাতৃপ্রধান পরিবার ব্যবস্থার প্রচলন কোন জাতিসত্ত্বায় রয়েছে?,গারো,সাওতাল,মণিপুরি,চাকমা,a
মারমাদের সবচেয়ে বড় উৎসবের নাম কী?,বিজু,রাশ,সাংগ্রাই,বাইশু,c
কোন উপজাতিটির আবাসস্থল 'বিরিশিরি' নেত্রকোনায়?,সাঁওতাল,গারো,খাসিয়া,মুরং,b
'গারো উপজাতি' কোন জেলায় বাস করে?,পার্বত্য চট্টগ্রাম,সিলেট,ময়মনসিংহ,টাঙ্গাইল,c
বাংলাদেশের কোন উপজাতি মুসলমান?,গারো,সাঁওতাল,পাঙন,চাকমা,c
খাসিয়া গ্রামগুলো কি নামে পরিচিত?,বারাং,পুঞ্জি,পাড়া,মৌজা,b
বাংলাদেশের বিখ্যাত 'মণিপুরী নাচ' কোন অঞ্চলের?,রাঙ্গামটি,রংপুর,কুমিল্লা,সিলেট,d
বাংলাদেশে মাতৃপ্রধান উপজাতি কারা?,চাকমা,খুমি,মুরং,খাসিয়া,d
'বৈসাবি' কোন অঞ্চলের ক্ষুদ্র নৃ-গোষ্ঠী উৎসব?,পার্বত্য চট্টগ্রাম,সিলেট,মনময়নসিংহ,রংপুর,a
চাকমা উপজাতিরা প্রধানত কোন ধর্মবলম্বী?,হিন্দু,খ্রিস্টান,বৌদ্ধ,প্রকৃতি পূজারি,c
বাংলাদেশের কোন নৃ-গোষ্ঠীর ভাষার নাম 'আচিক খুসিক'-,সাঁওতাল,চাকমা,গারো,মারমা,c
নিচের কোন ক্ষুদ্র নৃ-তাত্ত্বিক গোষ্ঠীয় জনগণ 'মাগবী' ও 'মগ' নামে পরিচিত ছিল?,চাকমা,মারমা,খিয়াং,রাখাইন,b
চাকমাদের বর্ষবরণ অনুষ্ঠানকে বলা হয়-,সাংগ্রাই,বিজু,তনচংগা,নও উৎসব,b
মাতৃসূত্রীয় পরিবার ব্যবস্থায় উদাহরণ-,গারো ও খাসিয়া,গারো ও রাখাইন,খাসিয়া ও মণিপুরী,চাকমা ও খাসিয়া,a
পার্বত্য চট্টগ্রামের বিজু উৎসবটি কখন পালিত হয়?,বৌদ্ধ পূর্ণিমাতে,পহেলা ফাল্গুন,পহেলা বৈশাখ,ফসল কাটার সময়,c
বেদে বা বাইদ্যা নামে পরিচিত ভ্রাম্যমাণ জনগোষ্ঠীর আদি নাম কী?,আরকান,রাজবংশী,মনতং,বেদী,c
জলকেলি কাদের উৎসব,ত্রিপুরা,চাকমা,গারো,রাখাইন,d
গারোদের সবচেয়ে বড় ধর্মীয় ও সামাজিক উৎসবের নাম কী?,বিঝু,ওয়ানগালা,সান্দ্রে,সাংগ্রাই,b
কারা সোহরাই উৎসব করা পালন করে?,চাকমা নৃগোষ্ঠী,মারমা নৃগোষ্ঠী,সাঁওতাল নৃগোষ্ঠী,গারো নৃগোষ্ঠী,c
ওয়ানগালা কাদের উৎসব?,চাকমাদের,মারমাদের,গারোদের,সাঁওতালদের,c
বিজু কোন ধরনের উৎসব?,চৈত্র সংক্রান্তি,বর্ষা উদযাপন,বিবাহের জন্য প্রস্তুতি,নবান্ন,a
আদাম কী?,চাকমা পরিবারগুচ্ছ,মারমাদের গ্রাম,গারোদের গ্রাম প্রধান,খাসিয়াদের গোত্র,a
'সাদ্‌রি' ভাষায় কথা বলে বাংলাদেশের-,ওঁরাও,মারমা,ত্রিপুরা,হাজং,a
মণিপুরীদের পূর্বপুরুষদের নাম হলো,সুমাইয়ম,পাখাংবা,চন্দো,মাইতে,d
গারোদের উর্বরতার দেবতার নাম-,তাতার,সালংজ,সুমাইয়ম,কালকেম,b
খাগড়াছড়ির আদিবাসী রাজা কোন নামে পরিচিতি,বোমাং রাজা,মগ রাজা,চকমা রাজা,মারমা রাজা,a
বাওয়ালি কারা?,ভওয়াল অঞ্চলের বাসিন্দা,বাউল সম্প্রদায়,সুন্দরবনের গোলপাতা সংগ্রহকারী,চট্টগ্রামের বলী খেলোয়াড়,c
ঝুমুর গান কোন সম্প্রদায়ের পার্বণ?,রাখাইন,গারো,লুসাই,সাঁওতাল,d
চাকমাদের সবচেয়ে বড় ধর্মীয় ও সামাজিক অনুষ্ঠান কোনটি?,বিজু,ওয়ানগালা,সান্দ্রে,সাংগ্রাই,a
'মগ' দের ধর্মীয় ভাষা কোনটি?,সাদ্রি,মুণ্ডা,ওরাওঁ,পালি,d
বাংলাদেশে নিম্নের কোন উপজাতি বসবাস করে?,পিগমী,কুর্দি,জুল ,মারমা,d
