question,a,b,c,d,answer
'কার' কী?,স্বরধ্বনির সংক্ষিপ্ত রূপ,ব্যঞ্জধ্বনির সংক্ষিপ্ত রূপ,স্বরধ্বনির ধ্বনিচিহ্ন,ব্যঞ্জনবর্ণের ধ্বনিচিহ্ন,a
ফলযুক্ত শব্দ কোনটি?,পল্বব,শক্ত,লিপ্সা,কর্জ,a
'হ্ম' এর বিশ্লষ্ট রূপ-,ক + ষ,ক + খ + গ,ক + ষ + ম,হ্‌ + ম,d
নিচের কোনটি একটি যুক্তাক্ষর?,ঐ,ই,ঔ,ষ্ণ,d
'উষ্ণ' শব্দের 'ষ্ণ' যুক্তাক্ষরের বিশিষ্ট রূপ-,ষ্‌ + ঞ,ষ্‌ + ম,ষ্‌ + ণ,ষ্‌ + ন,c
নিচের কোন বানানে মূর্ধন্য 'ণ' - এর ব্যবহার হয়েছে?,মহ্যাহ্ন,বিপন্ন,তৃষ্ণা,রত্ন,c
'কৃষ্ণ' শব্দটিতে কোন কোন বর্ণ আছে?,ক + র + ষ + ঞ,ক + ঋ + ষ + ণ,ক + ড় + ষ + ন,ক + ঢ় + ষ + ঞ,b
যথাক্রমে ষ্ণ এবং হ্ন - এর বিশিষ্ট রূপ দেখান।,"ষ + ঞ, হ + ণ","ষ + ন, হ + ণ","ষ্‌ + ণ, হ্‌ +,ন","ষ + ন, হ + ন",c
'হ্ন' কোন দুটি বর্ণের যুক্তারূপ?,হ + ন,হ্‌ + ণ,ন + হ,ণ + হ,b
বাংলা অভিধানে 'ক্ষ' এর অবস্থান কোথায়?,খ-বর্ণের পরে,ক-বর্ণের অন্তর্গত ভুক্তি হিসেবে,হ-বর্ণের পরে,ষ-বর্ণের পরে,b
'পক্ষী' শব্দের সংযুক্ত বর্ণ কোন কোন বর্ণ নিয়ে গঠিত?,ক + খ,য + ন,ষ + ঞ,ক্‌ + ষ,d
'ক্ষ্ম' এর বিশ্লিষ্ট রূপ-,ক্ষ্ম + ম,খ + ম + হ,ক + ষ + ণ,ক্‌ + ষ + ম,d
'তীক্ষন' শব্দের যুক্তব্যঞ্জনের সঠিক বিশ্লেষণ কোনটি?,ক + ষ্‌ + ণ,ক্‌ + ষ + ন,ক্‌ + ষ্‌ + ম,ক্‌ + হ্‌ + ণ,a
'জ্ঞ' যুক্তবর্ণটি কোন কোন বর্ণের মিলনে গঠিত হয়?,গ + ঞ,ঞ + জ,ঞ + চ,জ্‌ + ঞ,d
'বিজ্ঞান' শব্দের যুক্তবর্ণের সঠিক রূপ কোনটি?,জ্‌ + ঞ,ঞ + গ,ঞ + জ,গ + ঞ,a
'ঞ্জ' যুক্তবর্ণটির মধ্যে রয়েছে-,ঞ্‌ + জ,জ + ঞ,ন + জ,ঞ + ন,a
'ঞ্চ' যুক্তবর্ণটির স্বরূপ কী?,ঞ্‌ + চ,ঞ + চ,ঞ + ধ,ঞ + জ,a
"হৃ, রূ, ঞ্ছ এর বিশিষ্ট রূপ-","হ + ঊ, র + হ, হ + ন","হ্‌ + ঋ, র্‌ + ঊ, ঞ্‌ + ছ","হ + ঋ, র + ঋ, ণ + ছ","হ + উ, র + উ, ঞ + ছ",b
'হৃদয়' শব্দে 'হ' -এর সঙ্গে যুক্ত হয়েছে-,ঋ-কার,উ-কার,ঊ-কার,ও-কার,a
'মনু' শব্দটি ভাঙলে পাওয়া যায়-,ম্‌ + নু,ম্‌ + অ + ন্‌ + উ,মন + উ,ম্‌ + অ + নু,b
'লাঞ্ছনা' এই বানান ভাগ করলে হয়?,লা + ন + চ + না,লা + ন + ছ + না,লা + ঞ + ছ + না,লা + ঞ + চ + না,c
নিচের বাংলা ব্যঞ্জনে ভুলভাবে যুক্ত হয়েছে-,ক্ষ - ক + ষ,হ্ম - হ + ম,ত্ন - ত + ন,জ্ঞ - জ + ঞ,c
চ-বর্গীয় ধ্বনির আগে কোনটি ব্যবহৃত হয়?,ঙ,ঞ,ন,ণ,b
