question,a,b,c,d,answer
পাশাপাশি দুটি বর্ণ বা ধ্বনির মিলনকে কি বলে?,সন্ধি,সমাস,কারক,প্রত্যয়,a
সন্ধির প্রধান কাজ কী?,ধ্বনি পরিবর্তন,অর্থের পরিবর্তন,পদের পরিবর্তন,বাক্য সংকোচন,a
কোন বাংলা পদের সাথে সন্ধি হয় না?,বিশেষ্য,বিশেষণ,ক্রিয়া,অব্যয়,c
'নাজ্জামাই' শব্দের যথার্থ সন্ধি বিচ্ছেদ কোনটি?,নাতি + জামাই,নাত + জামাই,নাজ + জামাই,নাতিন + জামাই,b
'অতএব' এর ঠিক সন্ধি বিচ্ছেদ কোনটি?,অত্‌ + এব,অতঃ + এব,অত + এব,অতো + এব,b
আ + ঈ = এ - এ নিয়মের বাহিরে কোনটি?,মহেশ,রমেশ,ঢাকেশ্বরী,গণেশ,d
আ + ও = ঔ এই নিয়মে সন্ধিবদ্ধ শব্দ কোনটি?,মহৌষধি,মহৌষধ,বনৌষধি,পরমৌষধ,a
সন্ধির ক্ষেত্রে কোনটি ঠিক নয়?,অ + উ = ও,আ + ও = ঔ,আ + ও = উ,আ + ঐ = ঐ,c
'অত্যধিক' - এর সন্ধি বিচ্ছেদ করুন-,অতি + ধিক,অত্যা + অধিক,অতি + অধিক,অ + তাধিক,c
কোন বানানটি শুদ্ধ?,অত্যধিক,অত্যাধিক,অত্তাধিক,অত্বাধিক,a
অধম + ঋণ = অধমর্ণ' কোন সন্ধির দৃষ্টান্ত?,স্বরসন্ধি,নিপাতনে সিদ্ধ সরসন্ধি,বিসর্গসন্ধি,ব্যঞ্জনসন্ধি,a
'অধ্যুষিত' শব্দের সন্ধি বিচ্ছেদ কোনটি শুদ্ধ?,অধ্য + উষিত,আধ + ষিথ,অধি + উষিত,আধু + উষিত,c
'অন্বেষণ' এর সঠিক সন্ধি বিচ্ছেদ কোনটি?,অন্বে + ষণ,অনেঃ + এষণ,অনু + এষন,অনু + এষণ,d
কোনটি শুদ্ধ বানান?,অন্বেষণ,অন্বেষন,অন্বেশন,অন্বেশণ,a
'অন্বিত' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি?,অনু + ইত,অনু + নিত,অনু + ঈত,অনু + বিত,a
'অভীষ্ট' এর সন্ধি বিচ্ছেদ কি?,অভি + ইষ্ট,অভি + রিষ্ট,অভী + ইষ্ট,অভি + রিষ্ঠ,a
'আদ্যোপান্ত' শব্দটির সন্ধি বিচ্ছেদ -,আদি + প্রান্ত,আদ্য + প্রান্ত,আদ্যো + প্রান্ত,আদ্য + উপান্ত,d
'ইত্যাকার' শব্দটির সন্ধি বিচ্ছেদ-,ইতি + আকার,ইত্যা + কার,ইতি + কার,ইত + আকার,a
সন্ধি বিচ্ছেদ করুন : ইত্যাদি।,ইতি + দি,ইতি + আদি,ইত + তাদি,ইতি + অদি,b
'উপর্যুক্ত'- এর সন্ধি বিচ্ছেদ কোনটি শুদ্ধ?,উপরি + উক্তি,উপর + উক্ত,উপ + যুক্ত,উপর + যুক্ত,a
'উত্তমর্ণ'- কে সন্ধি বিচ্ছেদ করলে হয়-,উত্তর + মণ,উত্তম + ঋণ,উত্তর + মর্ণ,উত্তরম + ণ,b
সন্ধি বিচ্ছেদ কর : উপর্যুপরি-,উপরি + উপরি,উপর্য + পরি,উপ + র্যুপরি,উপ + উপরি,a
