question,a,b,c,d,answer
বাংলা সাতটি স্বরধ্বনির মধ্যে কোন তিনটি বিবৃত?,"অ, ই, উ","আ, ঈ, ঊ","অ, এ, অ্যা","অ্যা, আ, অ",d
নিম্নবিবৃত স্বরধ্বনি কোনটি?,আ,ই,এ,অ্যা,a
উচ্চারণের রীতি অনুযায়ী নিচের কোনটি উচ্চমধ্য-সম্মুখ স্বরধ্বনি?,অ,আ,ও,এ,d
জিভের উচ্চাতা অনুযায়ী উচ্চ-মধ্য স্বরধ্বনি কোনগুলো?,"অ, আ","ই, উ","এ, ও","আ, অ",c
নিচের কোনটি কেন্দ্রীয় নিম্নবস্থিত স্বরধ্বনি?,ও,ই,আ,অ,c
কোন দুটি অর্ধ-সংবৃত স্বরধ্বনি?,"অ্যা, আ","অ, উ","ই, উ","এ, ও",d
'অ' ধ্বনির উচ্চারণ কত রকম?,২,৩,৪,৫,a
আদ্য অ-এর পরে ই বা উ থাকলে সেই অ-এর উচ্চারণ-,ও-এর মতো হয়,অ-এর মতো হয়,ই-এর মতো হয়,উ-এর মতো হয়,a
'অ'- ধ্বনির সংবৃত উচ্চারণ হয়েছে কোনটিতে?,অটল,অতি,অনাচার,অমানিশা,b
'অভিনব' শব্দের শুদ্ধ উচ্চারণ কোনটি?,ওভিনবো,অভিনবো,ওভিনব,অভিনব,a
'অজর' শব্দে 'অ' এর উচ্চারণ বিবৃত হওয়ার কারণ-,না-বোধকতা,অভিশ্রুতি,স্বরসঙ্গতি,অপনিহিত,a
শব্দের শেষে 'অ' লোপ পায় না-,বৃহত্তর,ফল,অবশেষ,দর্শন,a
"'অ' কখনো অ্যা-এর মতো উচ্চারিত হয়, যেমন-",আকাশ,রাত,অনাথ,জ্ঞাত,d
নিচের কোন উদাহরণে 'এ' এর উচ্চারণ স্বাভাবিক?,এমন,বেহায়া,একা,খেলা,b
নিচের কোনটি 'এ' বর্ণের স্বাভাবিক উচ্চারণ?,বেলা,বেলা,একটা,এলো,d
কোন শব্দে 'এ' ধ্বনির বিবৃত উচ্চারণ হয়েছে?,তেলাপোকা,হেথা,দেহ,শেষ,a
'এ' ধ্বনির বিবৃত উচ্চারণ পাওয়া যায় কোন শব্দে?,বেলুন,হেথা,হেন,শেষ,c
'সৌধ' শব্দের প্রমিত উচ্চারণ হলো-,সোউধ্‌,শোউধ্‌,সোউধো,শোউ্‌ধো,d
