question,a,b,c,d,answer
মৃগয়া শব্দের অর্থ,হরিণ,বন্য পশুপাখি শিকার,হরিণ শাবক,হরিণ শিকার,d
কোন বাক্যে 'মাথা' শব্দটি বুদ্ধি অর্থে ব্যবহৃত?,তিনিই সমাজের মাথা,মাথা খাটিয়ে কাজ করবে,মাথা নেই তার মাথা ব্যথা,লজ্জায় আমার মাথা কাটা গেল,b
"""সে তোমার মাথা খেয়েছে।"" - এ বাক্যে খাওয়ার অর্থ কি?",সর্বনাশ করা,মস্তক কামড়ে খাওয়া,মাথায় আঘাত করা,পাগলামি করা,a
'তিনি এ গ্রামের মাথা।' কোন বাক্যে 'মাথা' বলতে কি বুঝানো হয়েছে?,মস্তক,প্রধান,সাধু,সৎ,b
"মাথা খাও, ভুলিওনা খেও মনে করে'- 'মাথা খাও' বলতে-",মাথা খাওয়া,মাথা ধরা,মাথার দিব্যি,মাথা ব্যথা,c
দায়িত্ব গ্রহণ' নিচের বাগধারার অর্থে ব্যবহৃত হয়েছে?,মাথা দেওয়া,মাথা ব্যথা,মাথা ঘামানো,মাথা ধরা,a
কোন বাগধারাটির দিয়ে আগ্রহ বুঝায়?,মাথা খাওয়া,মাথা দেওয়া,মাথা ব্যথা,হাতে হাতে,c
'মাথা ঘামানো' বাগধারাটির অর্থ কী?,অসুস্থবোধ করা,ভাবনা করা,মনোযোগী হওয়া,অস্বস্তিবোধ করা,b
'মুখ তোলা' বাক্যাংশের অর্থ কী?,অন্যের মুখ তুলে ধরা,নিজের মুখ উপরে তোলা,নষ্ট করা,প্রসন্ন হওয়া,d
"""যত বড় মুখ নাই তত বড় কথা""- এখানে 'মুখ' বলতে কী বোঝায়?",অনুভূতি,গালি,প্রত্যঙ্গ,শক্তি,d
'টাকাটা ধার দিয়ে তুমি আমার মুখ রেখেছ' এ বাক্যে 'মুখ' কি অর্থে ব্যবহৃত হয়েছে?,আধিপত্য,সুনাম,মূল্য,সম্মান,d
'নদীটি উত্তরমুখে প্রবাহিত'- এখানে 'মুখ' কোন অর্থ প্রকাশ করে?,তিরস্কার,মর্যাদা,প্রতঙ্গ বিশেষ,দিক,d
