question,a,b,c,d,answer
যেটিতে বংলা বর্ণের যথাযথ ক্রম অনুসৃত হয়নি-,ঈ উ ঊ ঋ,র ল ব ষ,ফ ব ভ ম,ঙ চ ছ জ,b
কোন বর্ণগুলোতে মাত্রা হবে না?,ক ও খ,খ এবং ল,ট এবং ঠ,এ এবং ঐ,d
'কার' কী?,স্বরধ্বনির সংক্ষিপ্ত রূপ,ব্যঞ্জনধ্বনির সংক্ষিপ্ত রূপ,স্বরধ্বনির ধ্বনিচিহ্ন,ব্যঞ্জনবর্ণের ধ্বনিচিহ্ন,a
ফলাযুক্ত শব্দ কোনটি?,পল্বব,শক্ত,লিপ্সা,কর্জ,a
'হ্ম' এর বিশ্লিষ্ট রূপ-,ক + ষ,ক + খ + গ,ক + ষ + ম,হ্‌ + ম,d
নিচের কোনটি একটি যুক্তাক্ষর?,ঐ,ই,ঔ,ষ্ণ,d
'উষ্ণ' শব্দের 'ষ্ণ' যুক্তাক্ষরের বিশিষ্ট রূপ-,ষ্‌ + ঞ,ষ্‌ + ম,ষ্‌ + ণ,ষ্‌ + ন,c
নিচের কোন বানানে মূর্ধন্য 'ণ' - এর ব্যবহারে হয়েছে?,মহ্যাহ্ন,বিপন্ন,তৃষ্ণা,রত্ন,c
'কৃষ্ণ' শব্দটিতে কোন কোন বর্ণ আছে?,ক + র + ষ + ঞ,ক + ঋ + ষ + ণ,ক + ড় + ষ + ন,ক + ঢ় + ষ + ঞ,b
যথাক্রমে ষ্ণ এবং হ্ন - এর বিশিষ্ট রূপ দেখান।,"ষ + ঞ, হ + ণ","ষ + ন, হ + ণ","ষ্‌ +,ণ, হ্‌ +,ন","ষ + ন, হ + ন",c
