question,a,b,c,d,answer
কোনো ব্যক্তি প্রতারণায় ব্যবহৃত হবে জেনে দলিল জাল করলে সর্বোচ্চ কারাদণ্ড.......... বছর।,৫,৭,১০,১৪,b
দেওয়ানী মামলায় মিথ্যাভাবে অন্য কারও নাম ব্যবহারে কোন স্বীকারোক্তি দিলে তার সর্বোচ্চ কারাদণ্ড............. বছর।,৫,২,১,৩,d
গণ-উৎপাত সংঘটনের ক্ষেত্রে মামলা করতে পারে কে?,ভুক্তভোগী,অ্যাটর্নি-জেনারেল,সরকারি কৌসুলী,যে-কোনো সংক্ষুদ্ধ ব্যক্তি,b
দেওয়ানী মোকদ্দমায় উভয়পক্ষের মুলতুবির দরখাস্তের প্রেক্ষিতে ধার্যকৃত খরচার টাকা পাবে...........,রাষ্ট্র,বিবাদী,বাদী,আইনজীবী,a
আরজি সংশোধনের দরখাস্ত নামঞ্জুরের আদেশের বিরুদ্ধে প্রতিকার কী?,রিভিউ,রিভিশন,রেফারেন্স,আপিল,b
আদালত বিচার্য বিষয় সংশোধন করতে পারে।,ডিক্রি প্রদানের পূর্বে যে কোনো সময়,রায় ঘোষণার পূর্বে যে কোন সময়,সাক্ষ্য গ্রহণের পূর্বে,যুক্তিতর্ক শুনানীর পূর্বে,a
কখন অধিকার তদন্ত করা যায়?,কেবল সাক্ষ্য অপর্যাপ্ত হলে,তদন্ত কর্মকর্তা পরিবর্তন হলে,আসামী আবেদন করলে,মামলার যে-কোনো পর্যায়ে,a
সাধারণভাবে একজন যুগ্ন দায়রা জজ অনাধিক - বছরের কারাদণ্ড দিতে পারেন।,৭,১০,১২,১৪,b
নালিশী মামলার ক্ষেত্রে কোনো ম্যাজিস্ট্রেটের উক্ত নালিশ গ্রহণের এখতিয়ার না থাকলে কি করবেন?,ফেরত দিবেন,উপযুক্ত আদালতে প্রেরণ করবেন,খারিজ করবেন,প্রাথমিক তদন্তের জন্য পাঠাবেন,a
অপরাধীকে আশ্রয়দান দণ্ডনীয় অপরাধ' সংক্রান্ত বিধান নিম্নের কোন সম্পর্কের ক্ষেত্রে প্রযোজ্য নয়?,পিতা-পুত্র,সন্তান-বৈধ অভিভাবক,স্বামী-স্ত্রী,ভাই-বোন,c
