question,a,b,c,d,answer
বাংলাদেশের প্রধান আইন কর্মকর্তা হলেন-,আইন মন্ত্রী,আইন সচিব,অ্যাটর্নি জেনারেল,প্রাধান বিচারপতি,c
বাংলাদেশের প্রধানমন্ত্রী হওয়ার জন্য ন্যূন্যতম বয়স কত বছর?,৩০,২৫,৩৫,৪০,b
গণপ্রজাতন্ত্রী বাংলাদেশের রাষ্ট্রপতি পদে নির্বাচিত হবার ন্যূনতম বয়স-,৩০ বছর,৩৫ বছর,৪০ বছর,৪৫ বছর,b
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান মতে প্রধান নির্বাচন কমিশনারের নিয়োগের মেয়াদকাল-,৩ বছর,৪ বছর,৫ বছর,৬ বছর,c
তত্ত্বাবধায়ক সরকার ব্যবস্থা সংবিধানের কততম সংশোধনীর মাধ্যমে রদ করা হয়েছে?,১২ তম,১৩ তম,১৪ তম,১৫ তম,d
কোরামের জন্য জাতীয় সংসদে কত জন সদস্যের উপস্থিতি প্রয়োজন?,৫০,,৭০,৮০,b
রাষ্ট্র পরিচালনায় মূলনীতিসমূহ গনপ্রজাতন্ত্রী বাংলাদেশের সংবিধানের  কোন ভাগে বর্ণিত আছে?,দ্বিতীয় ভাগ,তৃতীয় ভাগ,চতুর্থ ভাগ,পঞ্চম ভাগ,a
কোন সাংবিধানিক পদে শপথ গ্রহণ প্রয়োজন হয় না?,চেয়ারম্যান সরকারি কর্ম কমিশন,এ্যাটর্নি জেনারেল ,মহা হিসাব নিরীক্ষক ও নিয়ন্ত্রক,সরকারি কর্ম কমিশনের সদস্য,b
প্রধান বিচারপতি নিয়োগ দেন কে?,স্পিকার,জাতীয় সংসদ,রাষ্ট্রপতি,প্রধানমন্ত্রী,c
কোন পদটি সাংবিধানিক পদ নয়?,"চেয়ারম্যান, সরকারি কর্মকমিশন","চেয়ারম্যান, মানবাধিকার কমিশন",মহাহিসাব নিরীক্ষক ও নিয়ন্ত্রক,প্রধান নির্বাচন কমিশনার,b
বাংলাদেশের সংবিধান কতটি ভাষায় রচিত?,১ টি,২ টি,৩ টি,৪ টি,b
বাংলাদেশের বর্তমান সরকার প্রধান কে?,রাষ্ট্রপতি,প্রধানমন্ত্রী,স্পিকার,প্রধান বিচারপতি,b
বাংলাদেশের সংবিধান কত তারিখে কার্যকর হয়েছে?,৪ নভেম্বর ১৯৭২,৫ নভেম্বর ১৯৭২,১৫ ডিসেম্বর ১৯৭২,১৬ ডিসেম্বর ১৯৭২,d
বাংলাদেশ জাতীয় সংসদে সংরক্ষিত নারী আসন কতটি?,৫০,৩০,৩৫,৪৫,a
বাংলাদেশের জাতীয় সংসদের প্রতীক কি?,পদ্ম,শাপলা,গোলাপ,পাখি,b
বাংলাদেশের সুপ্রিম কোর্টের ডিভিশন কয়টি?,২ টি,৩ টি,৪ টি,৫ টি,a
কত তারিখের গণপরিষদের প্রথম অধিবেশনে খসড়া সংবিধান প্রণয়ন কমিটি গটন করা হয়?,১৯৭২ সালের ২৫ মার্চ,১৯৭২ সালের ২৬ মার্চ,১৯৭২ সালের ১০ এপ্রিল,১৯৭২ সালের ৩০ জুন,c
