question,a,b,c,d,answer
'গম্ভীরা' বাংলাদেশের কোন অঞ্চলের লোকের সংগীত?,পার্বত্য চট্টগ্রাম,সিলেট,চাঁপাইনবাবগঞ্জ,রংপুর,c
বাংলাদেশের বিখ্যাত মণিপুরি নাচ কোন অঞ্চলের?,রাঙ্গামাটি,রংপুর,কুমিল্লা,সিলেট,d
'ভাওয়াইয়া' কোন অঞ্চলের লোকসংগীত?,রংপুর,কুষ্টিয়া,রাজশাহী,ময়মনসিংহ,a
সূচনাকালে বাংলা নববর্ষের সঙ্গে সবচেয়ে নিবিড় সম্পর্ক ছিল-,সংস্কৃতির,ব্যবসার,কৃষির,রাজনীতির,c
নৌকাবাইচ প্রতিযোগিতার সময় পরিবেশিত গানের নাম?,সারি গান,জারিগান,ভাটিয়ালি গান,যাত্রাগান,a
'পাটগান' এই ঐতিহ্যবাহী বাংলা নাট্য-আঙ্গিকটি কোন অঞ্চলের?,ময়মনসিংহ,খুলনা,রাজশাহী,চট্টগ্রাম,b
'নটপালা' এই ঐতিহ্যবাহী বাংলা নাট্য-আঙ্গিকটি কোন অঞ্চলের?,সিলেট,ময়মনসিংহ,বরিশাল,রংপুর অঞ্চলের,a
'আলপনা' বাংলাদেশের অন্যতম প্রধান-,কারুশিল্প,কুটিরশিল্প,দারুশিল্প,লোকশিল্প,d
'জারিগান' কোন অঞ্চলের লোকগীতি?,চট্টগ্রাম,রংপুর,খুলনা,ঢাকা,d
বাংলাদেশের উত্তরাঞ্চলের বিখ্যাত লোকসংগীত-,ভাটিয়ালি,ভাওয়াইয়া,কীর্তন,লালনগীতি,b
শিল্পী জয়নুল আবেদিন সংগ্রহশালাটি কোথায়?,ঢাকায়,ময়মনসিংহ,চট্টগ্রামে,নড়াইলে,b
বিখ্যাত চিত্রকর্ম তিন কন্যা- এর শিল্পী কে?,শিল্পী হাশেম খাঁন,শিল্পী নিতুন কুন্ডু,শিল্পী এস. এম. সুলতান,শিল্পী কামরুল হাসান,d
'নবান্ন' কার চিত্রকর্ম?,জয়নুল আবেদিন,কামরুল হাসান,এস. এম. সুলতান,মোহাম্মদ কিবরিয়া,a
শিল্পাচার্য জয়নুল আবেদিনের 'মনপুরা ৭০' চিত্রকর্মটির বিষয়বস্তু কী?,দুর্ভিক্ষ,জলোচ্ছ্বাস,নবান্ন,মুক্তিযুদ্ধ,b
'ম্যাডোনা-৪৩' কোন শিল্পীর আঁকা চিত্রকর্ম?,এস এম সুলতান,কামরুল হাসান,জয়নুল আবেদিন,শফিউদ্দিন আহমেদ,c
১৯৪৩-এর দুর্ভিক্ষের চিত্রকর্ম কে একেছিলেন?,কাইয়ুম চৌধুরী,জয়নুল আবেদিন,কামরুল হাসান,মোহাম্মদ কিবরিয়া,b
১৯৪৩-এর মন্বন্তরের সঙ্গে প্রাসঙ্গিক যে চিত্রশিল্পী-,কামরুল হাসান,সফীউদ্দিন আহমেদ,জয়নুল আবেদিন,এস এম সুলতান,c
'মুকুল ফৌজ' কে গড়ে তোলেন?,জয়নুল আবেদিন,কামরুল হাসান,আবুল বার্‌ক আল্‌ভী,এস এম সুলতান,b
বাংলাদেশ পর্যটন কর্পোরেশনের মনোগ্রাম কার আঁকা?,শিল্পী কামরুল হাসান,শিল্পী কাজী আবুল কাশেম,শিল্পী আব্দুল মুক্তাদির,শিল্পী কাইয়ুম চৌধুরী,a
'এই জানোয়ারদের হত্যা করতে হবে' পোস্টারটি কার আঁকা?,কামরুল হাসান,মোহাম্মদ কিবরিয়া,রফিকুন নবী,হাশেম খান,a
বাংলাদেশের কোন চিত্রশিল্পী নিজেকে 'পটুয়া' বলতেন?,জয়নুল আবেদিন,কামরুল হাসান,সফিউদ্দিন আহমেদ,আবদুল বাসেত,b
'দেশ আজ বিশ্ব বেহায়ার খপ্পরে'- এ পোষ্টারের রূপকার কে?,এস এম সুলতান,জয়নুল আবেদিন,কামরুল হাসান,সাহাবুদ্দিন,c
ইয়াহিয়া ব্যঙ্গাত্নক চিত্রটি কে এঁকেছিলেন?,জয়নুল আবেদিন,এস এম সুলতান,শামসুর রহমান,কামরুল হাসান,d
বোর্ডের ওপর তেলরঙে 'চর দখল' ছবিটি কার আঁকা?,এস. এম. সুলতান,জয়নুল আবেদিন,মুর্তজা বশীর,হাশেম খান,a
'দ্য ফার্স্ট প্ল্যান্টেশন' শিল্পকর্মটি কার?,জয়নুল আবেদিন,কামরুল হাসান,মুর্তজা বশীর,এস এম সুলতান,d
কৃষক পরিবার ছবিটি কোন শিল্পীর আঁকা?,শিল্পী জয়নুল আবেদিন,শিল্পী কামরুল হাসান,শিল্পী এস. এম. সুলতান,শিল্পী হাশেম খান,c
এস. এম. সুলতানের শিল্পকর্ম কোনটি?,দুর্ভিক্ষ,পাইন্যার মা,বিজয়,প্রথম বৃক্ষরোপণ,d
লাল মিয়া কোন শিল্পীর ডাক নাম-,মোহাম্মদ কিবরিয়া,মুর্তজা বশীর,এস এম সুলতান,আমিনুল ইসলাম,c
মাটির ময়না ছবির পরিচালক-,মাসুদ রানা,রাজ্জাক,তারেক মাসুদ,কাজী ফারুক,c
'আগুনের পরশমনি' চলচ্চিত্রের পটভূমি কি?,বাংলাদেশের স্বাধীনতা যুদ্ধের একটি বাস্তব খণ্ডচিত্র,১৯৬৯ এর গণ-অভ্যুত্থানের বিজয়ের চিত্র,মানুষের চাওয়া-পাওয়ার ক্ষুদ্র চিত্র,লোভ-লালাসার নিন্দনীয় চিত্র,a
একাত্তরের যীশু এর নির্মাতা কে?,মোরশেদুল ইসলাম,নাসির উদ্দীন ইউসুফ,তানভীর মোকাম্মেল,আবু সাইদ,b
মুক্তিযুদ্ধভিত্তিক প্রামাণ্য চলচ্চিত্র 'মুক্তির গান' এর নির্মাতা-,মোরশেদুল ইসলাম,তারেক মাসুদ,তানভীর মোকাম্মেল,বাদল রহমান,b
কাজী নজরুল ইসলাম কোন ছবিতে অভিনয় করেছিলেন?,আয়না,ধ্রুব,পথে হল দেরি,রক্ত করবী,b
তারেক মাসুদ নির্মিত স্বল্পদৈর্ঘ্য চলচ্চিত্র 'আদম সুরত' কী কাহিনী অবলম্বনে তৈরি হয়েছে?,আদম-হাওয়া কাহিনী অবলম্বনে,পৌরাণিক কাহিনী অবলম্বনে,শিল্পী এস এম সুলতানের জীবন কাহিনী অবলম্বনে,শিল্পী জয়নুল আবেদিনের জীবন কাহিনী অবলম্বনে,c
তিন কন্যা চলচ্চিত্রের পরিচালক কে?,অপর্ণা সেন,সত্যজিৎ রায়,ঋতুপূর্ণা ঘোষ,গৌতিম ঘোষ,b
'আবার তোরা মানুষ হ' চলচ্চিত্রটির পরিচালক-,খান আতাউর রহমান,জহির রায়হান,সুভাস দত্ত,আমজাদ হোসেন,a
'লালসালু' কোন চলচ্চিত্র পরিচালক নির্মাণ করেন?,সৈয়দ ওয়ালীউল্লাহ,তানভীর মোকাম্মেল,সত্যজিৎ রায়,মৃণাল সেন,b
'মুক্তির গান' চলচ্চিত্রের নির্মাতার নাম?,তানভীর মোক্কামেল,গাজী বাকায়েত,তৌকির আহমেদ,তারেক মাসুদ,d
বিশিষ্ট কথা সাহিত্যিক হুমায়ূন আহমেদ প্রথম কোন চলচ্চিত্রটি নর্মাণ করেন?,আগুনের পরশমণি,শঙ্খনীল কারগার,একাত্তরের যিশু,ঘেটপুত্র কমলা,a
'সূর্য দীঘল বাড়ি' চলচ্চিত্রের পরিচালক কে?,শেখ নিয়ামত আলী,আবু ইসহাক,জহির রায়হান,তারেক মাসুদ,a
বাংলাদেশের কোন সিনেমা প্রথম অস্কারের জন্য মনোনীত হয়?,শঙ্খনীল কারাগার,মাটির ময়না,তিনকন্যা,শংশপ্তক,b
'বাংলা ভাষার ইতিবৃত্তি' কার রচনা?,মুহম্মদ শহীদুল্লাহ,মুহম্মদ আব্দুল হাই,মুনীর চৌধুরী,মোফাজ্জেল হোসেন চৌধুরী,a
কাজী নজরুল ইসলামের 'বিদ্রোহী' কবিতাটি কোন পত্রিকায় প্রকাশিত হয়?,মাসিক মোহাম্মদি,সাপ্তাহিক বিজলী,দৈনিক নবযুগ,ধুমকেতু,b
'সতীময়ন ও লোরচন্দ্রনী' কার লেখা?,আলাওল,দৌলত কাজী,মাগন ঠাকুর,মরদন,b
মীর মশাররফ হোসেনের 'বিষাদ সিন্ধু' একটি-,কাব্যগ্রন্থ,ইতিহাসগ্রন্থ,উপন্যাস,জীবনীগ্রন্থ,c
বাংলা সাহিত্যের প্রথম ইতিহাস গ্রন্থ কোনটি?,বাঙ্গালা সাহিত্যের ইতিহাস,বঙ্গভাষা ও সাহিত্য,বাংলা সাহিত্যের রূপরেখা,বাংলা সাহিত্যের কথা,b
'আলালের ঘরের দুলাল' কার লেখা?,কালীপ্রসন্ন সিংহ ,প্যারীচাঁদ মিত্র,মাইকেল মধুসূদন দত্ত,নবীন চন্দ্র সেন,b
মেঘনাদবধ কাব্যে'র কবির নাম কী?,রবীন্দ্রনাথ ঠাকুর,হেমচন্দ্র বন্দ্যোপাধ্যায়,মাইকেল মধুসূদন দত্ত,নবীন চন্দ্র সেন,c
'হাতহদাই' নাটকটি কে লিখেছেন?,গিরীশচন্দ্র ঘোষ,উৎপল দত্ত,মান্নান হীরা,সেলিম আল দীন,d
দিবা রাত্রির কাব্য কার লেখা?,সুফিয়া কামাল,মানিক বন্দ্যোপাধ্যায়,বন্দে আলী মিয়া,গোলাম মোস্তফা,b
শ্রীকান্ত উপন্যাস কার লেখা?,কাজী নজরুল ইসলাম,শরৎচন্দ্র চট্টোপাধ্যায়,জীবনানন্দ দাশ,রবীন্দ্রনাথ ঠাকুর,b
কোনটি আফসার আহমদ রচিত নাটক?,ঈর্ষা,মীমাংচীনা,বাজা অনুস্বারের পালা,শেষ নবাব,b
'শূদ্রক' রচিত নাটক কোনটি?,মুদ্রাবাক্ষস,শকুন্তলা,মৃচ্ছকটিক,নেমেসিস,c
বাংলাদেশের জাতীয় সংগীতের ইংরেজি অনুবাদক কে?,রবীন্দ্রনাথ ঠাকুর,সৈয়দ আলী আহসান,কবির চৌধুরী,হাসান হাফিজুর রহমান,b
পদ্মা নদীর মাঝি উপন্যাসটি কার লেখ?,শরৎচন্দ্র চট্টোপাধ্যায়,বিভূতিভূষণ বন্দ্যোপাধ্যায়,মানিক বন্দ্যোপাধ্যায়,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,c
নাট্যকার দীনবন্ধু মিত্র রচিত নাটক কোনটি?,বিয়ে পাগল বুড়ো,সাজাহান,কৃষ্ণকুমারী,হীরাঝিল,a
'সৈয়দ ওয়ালীউল্লাহ্‌' রচিত নাটক কোনটি?,বিল্লমঙ্গল,হরিণ চিতা চিল,তরঙ্গভঙ্গ,নরনারায়ণ,c
'বাংলা সাহিত্যে কোন লেখকের সাহিত্য সম্রাট' বলা হয়?,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ঈশ্বরচন্দ্র বিদ্যাসাগর,রবীন্দ্রনাথ ঠাকুর,কাজী নজরুল ইসলাম,a
চর্যাগীতি'র রচয়িতা-,কাহ্নপা,কৃত্তিবাস,চন্দ্রাবতী,হেমচন্দ্র,a
মহাকবি আলাওল রচিত কাব্যগ্রন্থ কোনটি?,চন্দ্রাবতী,পদ্মাবতী,মধুমালতি,লাইলি মজনু,b
মীর মশাররফ হোসেন ছদ্মনাম কী?,ভানু সিংহ ,বীর বল,কায়কোবাদ,গাজী মিয়া,d
বাংলা গদ্যের জনক কে?,ঈশ্বরচন্দ্র বিদ্যাসাগর,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,রবীন্দ্রনাথ ঠাকুর,কাজী নজরুল ইসলাম,a
বেগমা রোকেয়া সাখাওয়াত হোসেন রচিত গ্রন্থ কোনটি?,মহাবতী,পদ্মাবতী,রুপতী,পদ্মরাগ,d
'বিষের বাঁশী' কার রচনা?,সৈয়দ শামসুল হক,কাজী নজরুল ইসলাম,হুমায়ূন আহমেদ,জসীমউদ্দীন,b
'মেঘদূত কাব্য' কার লেখা?,পল্লীকবি জসীমউদ্দীন,বিশ্বকবি রবীন্দ্রনাথ ঠাকুর,মহাকবি কালিদাস,ছন্দের কবি সত্যেন্দ্রনাথ দত্ত,c
কবি জসীমউদ্দীনের জন্মস্থান-,যশোর,বরিশাল,ফরিদপুর,ময়মনসিংহ,c
রবীন্দ্রনাথ ঠাকুরের 'বিশ্বকবি' আখ্যা দিয়েছিলেন কে?,কাজী নজরুল ইসলাম,ব্রহ্মবান্ধব উপাধ্যায়,কবি জয় গোস্বামী,লালন ফকির,b
রবীন্দ্রনাথ ঠাকুরের ছদ্মনাম-,ভানুসিংহ,কালকুট,চাণক্য,বনফুল,a
সংশপ্তক উপন্যাসের রচয়িতা-,জহির রায়হান,শহীদ জহির,শহীদুল্লা কায়সার,শাহাদুজ্জামান,c
