question,a,b,c,d,answer
কোনটি 'অবিনাশী' শব্দের সমার্থক নয়?,অক্ষয়,শাশ্বত,চিরন্তন,ক্ষণস্থায়ী,d
কোনটি 'অন্ধকার' শব্দের সমার্থক শব্দ?,পাবক,মনোজ,ধরাপাতা,তমসা,d
তিমির শব্দের অর্থ কী?,কালো,অন্ধকার,কুশ্রী,সন্ধ্যা,b
'অন্ধকার' এর সমার্থক শব্দ নয়-,তিমির,কাজল,আধাঁর,অমানিশা,b
কোনটি 'অন্ধকার' অর্থে ব্যবহার করা যাবে না-,তিমির,তমিস্র,শর্বরী,তপন,d
'অভিজ্ঞান' এর সমার্থক শব্দ নয় কোনটি?,স্মারক,নিদর্শন,পরিচায়ক,অবাধ,d
'অধ্যয়ন' এর সমার্থক শব্দ নয় কোনটি?,প্রাধ্যয়ন,জ্ঞানাভ্যাস,পাঠাভ্যাস,তত্ত্বতালাশ,d
'অশ্রু' শব্দের প্রতিশব্দ-,নীর,সরিৎ,লোর,বিধু,c
'অশ্রু' শব্দটির সমার্থক শব্দ কোনটি?,জল,কান্না,জ্যোতি,নেত্রবারি,d
'আমন্ত্রণ' শব্দের সমার্থক শব্দ নিম্নের কোনটি নয়?,আহ্বান ,নিমন্ত্রণ,প্রত্যাবান,আবাহন,c
'তদন্ত' শব্দের সমার্থক শব্দ কোনটি?,অনুশীলন,আরজি,নিরবশেষ,প্রতিরূপীকরণ,a
নিচের কোনটি 'অনুশীলন' শব্দের সমার্থক নয়?,রেওয়াজ,মকশো,তালিম,তালাশ,d
'আগুন'-এর সমার্থক শব্দ কোনটি?,সুবর্ণ,অনল,মার্তণ্ড,কর,b
'অগ্নি' শব্দের প্রতিশব্দ কোনগুলো?,"অংশু, জ্যোতি","অতি, অতীব","অংশু, কর","বহ্নি, হুতাশন",d
'বীতিহোত্র' এর সমার্থক শব্দ কোনটি?,অগ্নি,অপলক,লালসা,যজ্ঞ,a
'সর্বভুক' শব্দের সমার্থক শব্দ-,রাক্ষস,ক্ষুধার্ত,আগুন,মাংসাশী,c
সমার্থক শব্দগুচ্ছ নির্ণয় করুন-,"বাজী, তুরঙ্গম, ভুজঙ্গ","তমঃ, তমিস্র, শুক্ল","সর্বভুক, কৃশানু, বৈশ্বানর","কুটুম্ব, আগন্তুক, অনাহূত",c
'আগুন' এর প্রতিশব্দ নয় কোনটি?,অনল,বহ্নি,পাবক,কর,d
'অগ্নি' শব্দের সমার্থক নয় কোনটি?,হুতাশন,কৃশানু,বায়ুসখা,দ্যুতি,d
'আকাশ' শব্দের সমার্থক শব্দ কোনটি?,অন্তরিক্ষ,বিভু,প্রভাকর,সুধাকর,a
আকাশের প্রতিশব্দ-,গগন,কিরণ,কানন,অসীম,a
আকাশ' শব্দের প্রতিশব্দ কোনগুলো?,"অলক, কণ্ডল, চিকুর","অণর, পাবক, বহ্নি","ব্যোম, অন্তরিক্ষ, শূন্য","ধরিত্রী, মহী, মেদেনী",c
'দ্যুলোক' শব্দের অর্থ-,আকাশ,বাতাস,পৃথিবী,পাতাল,a
'দেয়া' শব্দের সমার্থক শব্দ-,সমুদ্র,সলিল,মেঘ,আকাশ,d
'ওদন' শব্দের অর্থ-,ওজন,উদর,ভাত,অতিরিক্ত,c
'অন্ন' শব্দের সমার্থক শব্দ নয় কোনটি?,ভাত,আহার্য,দ্যুতি,ওদন,c
নিচের কোন গুচ্ছ 'আলো' শব্দের সমার্থক?,"রাকা, হুতাশন","অর্ক, শর্বরী","ময়ূখ, শিখি","বিভা, আভা",d
'কুটুম্ব' শব্দের অর্থ কী?,কালো,আত্মীয়,প্রতিবিম্ব,কলরব,b
অমেয় শব্দের অর্থ-,অমৃত,মলিন,অনেক,সাত,c
'অমিত' শব্দের সমার্থক শব্দ কোনটি?,অপূর্ব,বেশি,আকুল,নিশ্চিত,b
'নির্বন্ধ' অর্থ-,বিধান,আগ্রহ,নিবিড়,সত্যাসত্য,a
'ভূয়িষ্ঠ' শব্দের অর্থ-,ভূমিজাত,ভূমিলগ্ন,ভুয়া,প্রচুর,d
'অকর্মণ্য' শব্দের প্রতিশব্দ-,অকর্মক,কর্মকার,কর্মঠ,সকর্মক,a
'উত্তম' এর সমার্থক শব্দ কোনটি?,প্রধান,দীনতা,বিকাশ,বিভু,a
'ভাতি'র সমার্থক শব্দ-,রাত,আধাঁর,ভোর,আলো,d
'হর্ষ' শব্দের অর্থশ কি?,হলুদ,সাধ,দুষ্ট,আনন্দ,d
'আনন্দ' এর সমার্থক শব্দ নয়-,হর্ষ,পুলক,সুখ,বিষাদ,d
'আনন্দ' এর সমার্থক শব্দ নয়-,উচ্ছ্বাস,উল্লাস,শ্রান্তি,স্ফুরণ,c
কোনটি আনন্দ এর প্রতিশব্দ নয়?,উল্লাস,দীপ্তি,খুশি,আহলাদ,b
'অভিলাষ' শব্দটির অর্থ কী?,ইচ্ছা,উল্লাস,অলক,আকাশ,a
'ইচ্ছা' শব্দটির প্রতিশব্দ কোনটি?,অতিষ্ঠা,এষণা,তুষ্টি,রিষ,b
কোনটি 'উচ্ছ্বাস' শব্দের প্রতিশব্দ নয়?,বিকাশ,পুলক,উল্লাস,স্ফুরণ,b
'উচ্ছ্বাস' শব্দের প্রতিশব্দ নয় কোনটি?,স্ফুরণ,উদ্ভাসিত,স্ফীতি,বিকাশ,b
'ইতি' শব্দের প্রতিশব্দ নয় কোনটি?,অবসান,বরেণ্য,শেষ,বিরাম,b
'ঋত্বিক' শব্দটির প্রতিশব্দ-,বৃষভ,এলানো,ঋজু,হোমক,d
'অশিষ্ট' শব্দের সমার্থক শব্দ কোনটি?,অসহায়,দুর্বল,স্বার্থপর,অভদ্র,d
'কন্যা' শব্দটির অর্থ-,দুহিতা,বনিতা,ললনা,অঙ্গনা,a
'কন্যা' শব্দের সমার্থক কোনটি?,অনুজা,তনয়া,সূত,অবলা,b
'কন্যা'র সমার্থক শব্দ-,পন্নগ,পরভৃত,জায়া,আত্মজা,d
ঝি'র সমার্থক শব্দ কোনটি?,ঠাকুরঝি,বণিতা,শ্বশ্রূ,সুত,b
'নন্দিনী' এর সমার্থক শব্দ কোনটি?,ননদিনি,নারী,তনয়া,সুন্দরী,c
কোনটি 'কন্যা' শব্দের অর্থ নয়?,তনয়া,অলক,নন্দিনী,আত্মজা,b
'কর' এর সমার্থক-,ঘোড়া,হাতি,কিরণ,খাজনা,d
'কিরণ' শব্দের সমার্থক শব্দ কোনটি?,ময়ূখ,ব্যোম,জীমূত,অনিকেতন,a
'অংশু' শব্দের সমার্থক শব্দ কোনটি?,কুটুম,দীপ্তি,দৃষ্টি,উজ্জ্বল,b
'অংশু' শব্দের অর্থ কোনটি?,চন্দ্র,লজ্জা,লোহিত,প্রভা,d
