question,a,b,c,d,answer
বাংলাদেশে জুম চাষ কোথায় হয়?,বান্দরবান,ময়মনসিংহ,রাজশাহী,দিনাজপুর,a
বাংলাদেশের কোন জেলায় সবচেয়ে বেশি চা বাগান রয়েছে?,চট্টগ্রাম,সিলেট,পঞ্চগড়,মৌলভীভাজার,d
বাংলাদেশ প্রধান ধান কোনটি?,আউশ,আমন,বোরো,ইরি,c
বাংলাদেশে প্রথম চায়ের চাষ আরম্ভ হয়-,সিলেটের মালনীছড়ায়,সিলেটের তামাবিলে,খাগড়াছড়িতে,সিলেটের জফনায়,a
কোন জেলা তুলা চাষের জন্য সবচেয়ে বেশি উপযোগী?,রাজশাহী,ফরিদপুর,রংপুর,যশোর,d
নবান্ন কী?,নতুন ধান,নতুন বৎসর,ফসল কাটার উৎসব,ফসল বোনার উৎসব,c
নিচের কোন জেলা রেশম গুটি উৎপাদনের জন্য বিখ্যাত?,ভোলা,নাটোর,রাজশাহী,সিলেট,c
পার্বত্য চট্টগ্রামে উপজাতীয় জনগোষ্ঠী যে বিশেষ পদ্ধতিতে চাষ করে তাকে কী বলা হয়?,কুর,জুম,ঝুম,গম,b
বাংলাদেশের সুন্দরবনে কত প্রজাতির হরিণ দেখা যায়?,১,২,৩,৪,b
কনো গাছের কাঠ থেকে পেন্সিল তৈরি হয়?,গেওয়া,গর্জন,ধুন্দল,সুন্দরী,c
পৃথিবীর বৃহত্তম ম্যাংগ্রোভ অরণ্যের নাম কী?,লাউয়াছাড়া,সুন্দরবন,ভাওয়াল জাতীয় উদ্যান,মধুপুর,b
নিচের কোন বনটি সর্ববৃহৎ?,সুন্দরবন,লাউয়াছাড়া,বোমা-কালেঙ্গা,মধুপুর,a
সুন্দরবনে বাংলাদেশে ও ভারতকে পৃথক করেছে কোন নদী?,কপোতাক্ষ,হাড়িয়াভাঙ্গা,কালিন্দী,কাকশিয়ালী,b
বাংলাদেশের কয়টি জেলার সঙ্গে সুন্দরবনের সীমানা রয়েছে?,৩ টি,৪ টি,৫ টি,৬ টি,c
বাংলাদেশের প্রধান খনিজ সম্পদ কোনটি?,কয়লা,প্রাকৃতিক গ্যাস,চুনাপাথর,চীনামাটি,b
বাংলাদেশের কোন অঞ্চলে চীনামাটি পাওয়া গেছে?,খুলনা ,মাদারীপুর,নেত্রকোনা,দিনাজপুর,c
বাংলাদেশের সমুদ্রাঞ্চলে আবিষ্কৃত প্রথম গ্যাসক্ষেত্র-,সেন্টমার্টিন,সাঙ্গু ভ্যালি,নিঝুম দ্বীপ,তালপট্টি,b
বাংলাদেশে সর্বপ্রথম প্রাকৃতিক গ্যাসক্ষেত্র আবিষ্কৃত হয় নিম্নের কোন স্থানে?,হরিপুর,কৈলাশটিলা,ছাতক,তিতাস,a
