question,a,b,c,d,answer
'অকাল কুষ্মান্ড' বাগধারাটির অর্থ কোনটি?,অকর্মা,কর্মবিমুখ,বোকা,মূর্খ,a
'খুব বিপদ' এর অর্থ প্রকাশক বাগধারা কোনটি?,অকুল পাথার,গোফ-খেজুরে ,শকুনি মামা,রাবণের চিতা,a
কোন বাগধারাটির অর্থ 'মারা যাওয়া' ,অক্কা পাওয়া ,কেউকেটা,কান পাতলা,কেতাদুরন্ত,a
'অকাল বোধোন' বাগধারাটির অর্থ -,শেষ বিদায়,অসময়ে আবির্ভাব,শেষ সময়ের কাজ,সময়ে আবির্ভাব,b
'অগস্ত্যযাত্রা' বাগধারাটির অর্থ কি?,শুরু করা,বিশ্রাম করা,তাড়াতাড়ি শেষ করা,শেষ বিদায়,d
'অগ্নিপরীক্ষা' বাগধারাটির অর্থ -,সহজ পরীক্ষা,কঠিন পরীক্ষা,ভাষা পরীক্ষা,আগুনের পরীক্ষা,b
'অজগর বৃত্তি' বাগধারাটির অর্থ কি?,লোভী,আলসেমি,অপদার্থ,প্রচন্ড গরম,b
'অকালে বাদলা' বাগধারার অর্থ  কি?,অপ্রত্যাশিত বাধা,যা সচরাচর ঘটে না,পৌষ-মাঘ মাসের বৃষ্টি,নিত্যনৈমিত্তিক বিষয়,a
'অনুরোধের ঢেঁকি গেলা' বাগধারাটির সঠিক অর্থ হচ্ছে-,অনুরোধে পড়ে অসাধ্য সাধন করা,অনুরোধে অনিচ্ছা সত্ত্বেও কিছু করা,চাপে পড়ে অন্যায় কাজ করে ফেলা,অনুরোধে ঢেঁকি গিলে ফেলা,b
'অন্তুর টিপুনি' বাগধারাটির অর্থ কি?,বিপদ,গভীর,গোপন ব্যথা ,হিংসা,c
'বিধির বিড়ম্বনা' এর বাগধারা কী?,অলক্ষ্মীর দশা,অগ্নিপরীক্ষা,অদৃষ্টের পরিহাস,আটক,c
'অন্ধিসন্ধি' বাগধারাটির অর্থ কি?,বেফাঁস কথা,বিশ্বাসঘাতকতা,গোপন তথ্য,ষড়যন্ত্র,c
'অর্ধচন্দ্র' এর অর্থ-,গলাধাক্কা দেয়া ,অমাবস্যা,দ্বিতীয়ত,কাস্তে,a
'অরণ্যে রোদন' কথাটির অর্থ কী?,অবিরাম কান্না,বৃথা চেষ্টা,নিষ্ফল আবেদন,বারংবার চেষ্টা,c
'অঞ্চল প্রভাব' বাগধারাটির অর্থ -,আঞ্চলিকতার প্রভাব,স্বামীর প্রভাব,স্ত্রীর প্রভাব,উধ্বর্তন কর্তার প্রভাব,c
'অশ্বমেধ যজ্ঞ' বাগধারাটির অর্থ?,ঘোড়া নিধন,বিপুল আয়োজন,ধ্বংস করা,হত্যাযজ্ঞ,b
'অষ্টরম্ভা' বাগধারাটির অর্থ কি?,সম্পূর্ণভাবে,ফাঁকি,অপদার্থ,অলস,b
'আচাভুয়ার বোম্বাচাক' বাগধারাটির অর্থ -,অন্যান্য,অযথা প্রশংসা করা,অসম্ভব ব্যাপার,অপ্রত্যাশিত বাঁধা,c
'আটঘাট বাঁধা' বাগধারার অর্থ-,ঘাটে নামা,কাজে নামা,সর্বনাশ করা,প্রস্তুতি নেওয়া,d
'আঠার আনা'- বাগধারাটির অর্থ কি?,বাড়াবাড়ি,দীর্ঘসূত্রিতা,বেখাপ্পা,অসম্ভব ব্যাপার,a
'আদিখ্যেতা' বাগধারাটির অর্থ কি?,মারা যাওয়া,না জেনে কিছু করা,অপদার্থ,ন্যাকামি,d
আক্কেল সেলামি- এর প্রকৃত অর্থ কোনটি?,অত্যন্ত বুদ্ধিমান,অতি চালাক,হাঁদারাম,নির্বুদ্ধিতার দন্ড,d
'আঁকুপাকু' বাগধারাটির অর্থ কি?,স্তম্ভিতভাবে,ঝাকুনি দেয়া,ন্যাকামি,ব্যস্ততার ভাব,d
'আকাশ ভেঙ্গে পড়া' বাগধারাটির সঠিক অর্থ কোনটি,মন্দভাগ্য,আশ্চর্য হওয়া,হঠাৎ বিপদ হওয়া,কঠিন পরীক্ষা,c
'আকাশ কুসুম' শব্দের অর্থ কোনটি?,অলীক ভাবনা,অদ্ভুত জিনিস,সুন্দর কল্পনা,স্বপ্ন,a
'আকাশ পাতাল' বাগধারাটির অর্থ কি?,বিশৃঙ্খলা,শত্রুতা,প্রচুর ব্যবধান,অবাস্তব,c
কোন প্রবচনটি 'হতভাগ্য' অর্থে ব্যবহৃত?,আটোকপালে,উড়নচন্ডী,ছা-পোষা,ভূশন্ডির কাক,a
'আমড়া কাঠের ঢেঁকি' কে কি বলে?,নরম,অপদার্থ,বোকা,অসম্ভব বস্তু,b
'আস্তাকুঁড়ের পাতা' বাগধারাটির অর্থ -,হেয় ব্যক্তি,চতুর,নোংরা,অলস ব্যক্তি,a
'আঠারো মাসে বছর' এ বাগধারাটির অর্থ হলো-,সময়ানুবর্তিতা,আলস্য ,অকর্মণ্য,দীর্ঘসূত্রতা,d
'আলাভোলা' বাগধারাটির অর্থ -,অসহায়,সাধাসিধে,অকর্মণ্য,অলস,b
ইঁদুর কপালে-,নিতান্ত মন্দ ভাগ্য,অনাধিকারে অধিকার,ভাগ্যাহত,ভাগ্যহীন,a
