question,a,b,c,d,answer
বাংলাদেশের জাতীয় প্রতীকে কয়টি তারকা আছে?,২ টি,৩ টি,৪ টি,৫ টি,c
কোন তারিখে বাংলাদেশের জাতীয় পতাকা সরকারিভাবে গৃহীত হয়?,১৭ জানুয়ারি ১৯৭২,১৬ জানুয়ারি ১৯৭১,২৬ মার্চ ১৯৭১,১৭ এপ্রিল ১৯৭১,a
বাংলাদেশের জাতীয় পতাকার দৈর্ঘ্য-প্রস্থের অনুপাত কোনটি?,৮ঃ৫,১০ঃ৬,১১ঃ৮,১১ঃ৭,b
গণপ্রজাতন্ত্রী বাংলাদেশের মনোগ্রামে কয়টি তারকাচিহ্ন রয়েছে?,৪ টি,৬ টি,৫ টি,২ টি,a
বাংলাদেশের জাতীয় ফল কোনটি?,কাঁঠাল,আম,পেঁপে,কমলা,a
বাংলাদেশের জাতীয় পতাকার ডিজাইনার কে?,কামরুল হাসান,জয়নুল আবেদিন,হাসেম খান,হামিদুর রহমান,a
বাংলাদেশের রাষ্ট্রীয় মনোগ্রামের ডিজাইনার কে?,কাজী খসরু,কামরুল হাসান,স্বপন কুমার,এএনএ সাহা,d
বাংলাদেশের জাতীয় গাছের নাম কি?,কলাগাছ,আমগাছ,কাঁঠালগাছ,আপেল গাছ,b
বাংলাদেশের জাতীয় প্রতীকে যে তারকাগুলো রয়েছে তা দিয়ে কী বুঝানো হয়েছে? ,অর্থনীতি,লক্ষ্য ও উচ্চাকাঙ্ক্ষা,অঙ্গীকার,বাহাত্তরের সংবিধানের মূলনীতিসমূহ,d
বাংলাদেশের জাতীয় প্রতিকে থাকা ভাসমান শাপলা এর ডিজাইনার কে?,কামরুল হাসান,মোহাম্মদ ইদ্রিস,শামসূল আলম,শিব নারায়ণরায়,b
বাংলাদেশের জাতীয় সংগীত কোন সুরের অনুপ্রেরণায় রচিত?,রামপ্রসাদ,পাশ্চাত্য,কীর্তন,বাউল,d
বাংলাদেশের জাতীয় সংগীতের ইংরেজি অনুবাদক-,সিরাজুল ইসলাম,সৈয়দ আলী আহসান,আনিসুজ্জামান,কবীর চৌধুরী,b
বাংলাদেশের জাতীয় সংগীতের সুরকার কে?,কাজী নজরুল ইসলাম,আলহাজ বাহাদুর,রবীন্দ্রনাথ ঠাকুর,শেখ আলী খান,c
জাতীয় জাদুঘর কোন পরিচয় বহন করে?,জাতিসত্ত্বা,আত্মপরিচয়,স্থাপত্য,ইতিহাস,a
কাজী নজরুল ইসলাম কী হিসেবে সাহিত্য স্থায়ী আসন লাভ করেছেন?,গীতি কবি ,সর্বহারা কবি,বিদ্রোহী কবি,প্রেমের কবি,c
